 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,56,903.339,220.268,28.385,899,216,9,8,0.873,10.630,900,224,41.186,8.000,1.197,0.835,0.875
2,25,822.260,233.540,17.314,819,231,6,5,1.000,7.211,819,235,33.690,5.000,1.293,0.773,0.926
3,83,873.343,247.669,32.385,869,242,9,11,0.995,12.083,871,242,114.444,9.000,1.237,0.808,0.943
4,37,607.122,296.797,24.971,604,292,6,9,0.746,9.849,605,292,113.962,5.754,1.892,0.529,0.822
5,46,447.326,311.152,35.213,444,305,7,12,0.466,12.649,446,317,71.565,7.000,2.184,0.458,0.692
6,30,467.733,312.167,20.728,465,308,5,8,0.877,8.544,466,316,69.444,5.000,1.847,0.541,0.870
7,89,694.376,314.691,42.284,687,310,15,9,0.626,15.811,687,318,18.435,8.825,2.103,0.475,0.802
8,36,647.139,320.528,27.799,642,317,10,7,0.585,11.180,642,323,26.565,5.385,2.579,0.388,0.713
9,29,641.534,328.672,26.385,638,325,9,7,0.523,10.817,638,326,146.310,5.762,2.358,0.424,0.682
10,26,601.346,334.385,17.899,598,332,6,5,1.000,7.211,598,333,146.310,5.000,1.207,0.829,0.945
11,25,595.980,337.900,17.556,593,335,6,6,1.000,7.211,594,335,123.690,5.367,1.420,0.704,0.847
12,385,596.612,361.942,106.569,584,348,25,27,0.426,30.610,584,356,141.633,23.125,1.230,0.813,0.803
13,60,1067.683,370.033,34.284,1062,364,10,11,0.641,13.038,1064,375,57.529,8.243,1.630,0.613,0.774
14,65,448.331,376.977,28.971,443,373,10,8,0.973,11.402,444,373,142.125,8.000,1.288,0.776,0.922
15,49,1072.071,381.031,24.971,1068,377,8,8,0.988,8.944,1068,383,26.565,8.000,1.089,0.918,0.899
16,77,1020.487,390.474,37.213,1014,387,15,7,0.699,15.297,1014,388,168.690,7.000,2.227,0.449,0.865
17,96,963.688,400.667,35.799,958,396,12,10,0.941,13.416,958,404,26.565,10.000,1.282,0.780,0.928
18,77,690.305,408.305,32.385,686,403,9,11,0.923,12.207,687,403,124.992,8.944,1.376,0.726,0.917
19,33,1101.924,416.015,20.971,1099,412,6,8,0.943,8.944,1100,412,116.565,5.657,1.702,0.588,0.880
20,33,863.288,441.045,26.385,861,437,5,9,0.596,9.849,862,446,66.038,5.000,2.159,0.463,0.815
21,57,480.605,459.167,26.971,476,455,9,8,0.985,10.817,476,462,33.690,8.000,1.263,0.792,0.912
22,83,448.596,462.151,32.627,443,457,11,10,0.980,13.038,443,459,147.529,9.192,1.427,0.701,0.922
23,72,783.500,471.167,30.971,779,466,9,10,0.943,11.662,781,466,120.964,9.000,1.211,0.826,0.917
24,62,624.290,472.452,28.971,619,469,11,7,0.928,11.180,619,471,169.695,7.000,1.451,0.689,0.919
25,56,472.875,486.536,26.971,469,482,8,9,0.967,10.817,470,491,56.310,7.778,1.381,0.724,0.918
26,103,757.034,487.549,36.042,751,482,12,11,0.996,13.892,751,484,149.744,10.607,1.300,0.769,0.932
27,128,866.461,489.328,53.941,857,484,20,10,0.553,20.616,857,488,165.964,9.597,2.404,0.416,0.790
28,25,898.580,488.700,22.971,895,485,6,8,0.595,8.246,898,485,104.036,5.578,1.836,0.545,0.704
29,164,908.372,496.896,71.255,897,489,22,15,0.406,22.361,897,497,169.695,13.097,1.863,0.537,0.718
30,72,441.125,495.111,30.971,437,490,9,10,0.943,11.662,438,490,120.964,9.000,1.238,0.808,0.923
31,61,792.352,503.123,27.556,788,499,9,8,1.000,10.817,788,500,146.310,8.000,1.263,0.792,0.946
32,62,900.919,505.177,30.385,896,501,10,9,0.844,11.402,896,509,37.875,8.854,1.257,0.796,0.855
33,102,806.402,513.147,50.284,799,506,12,13,0.507,16.401,800,519,52.431,12.000,1.372,0.729,0.782
34,83,795.054,530.114,32.971,790,525,10,10,0.959,12.207,791,535,55.008,10.000,1.157,0.864,0.933
35,231,471.474,545.067,89.397,463,531,17,28,0.363,28.284,470,559,81.870,15.415,2.205,0.453,0.646
36,39,760.397,537.449,26.385,755,534,10,7,0.704,10.440,755,538,16.699,6.499,1.706,0.586,0.772
37,30,486.433,539.100,30.971,480,537,11,6,0.393,12.083,480,537,155.556,5.692,2.853,0.350,0.625
38,25,627.740,541.020,27.657,621,540,13,2,0.411,13.153,621,542,8.746,2.000,6.295,0.159,0.980
39,36,515.750,548.111,28.385,513,543,6,11,0.561,12.083,514,543,114.444,5.336,2.804,0.357,0.750
40,36,462.528,549.972,30.042,459,545,7,10,0.501,10.770,461,555,68.199,5.692,2.370,0.422,0.699
41,25,1026.940,546.740,24.728,1021,545,11,4,0.514,11.045,1021,546,174.806,4.000,2.899,0.345,0.769
42,44,652.182,554.500,30.042,649,549,6,11,0.613,11.402,651,560,74.745,6.000,2.299,0.435,0.772
43,75,975.727,556.713,30.627,970,552,11,9,1.000,11.705,970,555,160.017,9.000,1.219,0.820,0.915
44,128,682.836,567.195,42.627,677,560,12,14,0.885,15.000,679,561,126.870,11.384,1.317,0.759,0.911
45,27,363.093,570.426,17.899,360,568,6,5,1.000,7.211,360,572,33.690,5.000,1.210,0.826,0.947
46,40,831.000,576.900,25.556,826,574,10,6,0.770,10.770,826,579,21.801,5.491,2.105,0.475,0.833
47,72,346.375,597.083,30.385,341,593,11,8,0.980,12.083,341,600,24.444,8.000,1.407,0.710,0.941
48,95,749.111,612.774,35.213,744,607,11,11,0.963,12.806,744,617,38.660,11.000,1.087,0.920,0.918
49,63,332.452,621.437,31.213,327,617,11,9,0.813,12.530,327,619,151.390,8.232,1.798,0.556,0.834
50,121,1016.880,627.690,52.770,1009,621,17,12,0.546,17.720,1009,628,163.610,12.000,1.431,0.699,0.771
51,40,331.450,632.425,26.385,328,628,7,9,0.722,10.296,329,628,119.055,6.128,1.992,0.502,0.792
52,90,973.322,633.978,34.042,967,629,12,10,0.976,13.000,967,632,157.380,10.000,1.229,0.814,0.914
53,25,797.220,634.340,18.971,794,631,6,7,0.873,8.062,795,638,60.255,4.950,1.711,0.585,0.820
54,136,804.515,640.419,56.527,798,632,13,17,0.535,20.809,798,649,54.782,10.700,2.235,0.448,0.784
55,41,1081.280,637.646,29.213,1078,633,8,9,0.604,11.402,1079,642,52.125,6.641,1.791,0.558,0.752
56,133,1072.808,647.921,72.770,1064,639,14,26,0.316,26.926,1069,639,105.068,11.918,2.580,0.388,0.602
57,31,793.113,642.952,22.728,788,640,9,5,0.754,9.487,788,644,18.435,5.000,2.082,0.480,0.861
58,61,1034.484,647.008,33.213,1030,641,8,11,0.695,12.083,1033,641,114.444,8.000,1.649,0.607,0.824
59,85,770.806,648.759,59.012,763,642,17,14,0.307,20.616,764,656,39.094,8.575,3.018,0.331,0.620
60,540,1061.052,669.074,141.539,1046,646,23,42,0.339,43.174,1057,688,76.608,23.000,2.495,0.401,0.752
61,55,925.555,653.555,27.213,921,649,9,9,0.933,11.402,922,649,127.875,7.071,1.729,0.578,0.887
62,65,472.746,654.054,30.385,468,650,10,9,0.885,11.402,468,651,142.125,8.944,1.271,0.787,0.884
63,46,941.848,657.130,27.556,938,653,8,8,0.761,10.630,938,661,41.186,7.649,1.294,0.773,0.829
64,27,1049.574,660.870,18.142,1046,658,7,5,1.000,7.616,1046,660,156.801,5.000,1.468,0.681,0.900
65,114,531.395,673.912,48.527,527,664,9,18,0.608,18.248,531,664,99.462,9.000,2.272,0.440,0.817
66,86,542.663,673.872,33.213,537,669,11,10,0.980,12.530,537,671,151.390,9.899,1.246,0.803,0.930
67,168,829.274,681.804,57.941,823,671,12,20,0.629,21.190,825,691,70.710,12.000,1.806,0.554,0.834
68,88,730.114,732.409,34.042,724,727,12,10,0.954,12.649,724,734,18.435,10.000,1.259,0.794,0.907
69,29,739.879,748.466,20.142,736,745,7,6,0.898,8.602,736,751,35.538,5.657,1.614,0.620,0.892
70,82,609.341,753.207,32.627,605,747,9,12,0.968,12.369,607,759,75.964,9.000,1.249,0.801,0.911
71,111,659.824,754.302,38.042,654,748,12,12,0.964,13.892,657,748,120.256,11.628,1.147,0.872,0.921
72,79,900.981,753.892,31.799,896,749,10,10,0.982,11.662,898,759,59.036,9.899,1.154,0.866,0.924
73,70,397.386,757.300,29.799,393,752,9,10,0.991,11.402,394,762,52.125,9.000,1.230,0.813,0.915
74,102,421.618,769.951,37.213,415,765,13,10,0.926,13.601,415,769,162.897,10.000,1.246,0.803,0.923
75,47,380.926,770.649,33.556,376,766,13,7,0.525,13.153,376,770,171.254,7.000,2.137,0.468,0.723
76,26,448.962,776.231,28.485,442,775,13,3,0.403,13.153,442,777,8.746,3.000,4.813,0.208,0.800
77,108,951.120,782.880,38.042,945,777,12,12,0.938,14.422,947,777,123.690,10.607,1.394,0.717,0.927
78,26,936.000,784.000,29.071,929,783,14,2,0.387,14.142,929,783,171.870,2.000,6.603,0.151,0.963
79,33,962.439,792.167,22.971,959,788,6,9,0.786,9.849,960,788,113.962,5.367,2.104,0.475,0.805
80,128,989.695,811.617,41.698,983,805,14,13,0.925,14.560,983,809,164.055,12.649,1.165,0.858,0.901
81,28,847.821,825.036,32.485,846,818,3,15,0.333,15.297,846,818,101.310,2.985,6.590,0.152,0.789
82,77,569.513,829.760,31.799,564,825,11,9,0.957,12.530,564,833,28.610,9.000,1.400,0.714,0.928
83,74,947.324,830.162,30.385,943,825,9,10,1.000,11.180,945,825,116.565,9.000,1.152,0.868,0.937
84,80,987.775,836.475,31.799,983,831,9,11,0.994,11.705,986,831,109.983,9.000,1.220,0.819,0.936
85,29,770.603,859.086,19.556,767,856,7,6,0.953,8.602,767,857,144.462,4.950,1.763,0.567,0.892
86,79,830.601,860.804,32.627,825,856,11,10,0.933,11.705,825,863,19.983,9.839,1.218,0.821,0.903
87,46,922.239,877.174,29.799,919,872,7,11,0.651,12.530,920,883,61.390,6.314,2.265,0.441,0.814
88,74,753.973,918.419,30.971,749,914,10,9,0.969,10.817,751,914,123.690,9.000,1.080,0.926,0.925
89,88,809.500,922.216,33.799,805,916,9,12,0.968,13.038,806,917,122.471,9.000,1.339,0.747,0.931
90,31,695.113,966.565,20.971,692,963,7,7,0.886,9.220,692,963,130.601,4.950,1.920,0.521,0.873
91,78,753.321,977.808,31.799,748,973,10,10,0.969,11.180,748,976,153.435,10.000,1.036,0.966,0.918
