 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,55,781.136,204.682,30.870,776,200,10,10,0.725,10.770,776,206,21.801,8.433,1.440,0.694,0.786
2,26,666.000,234.500,17.314,663,232,6,5,1.000,6.708,663,233,153.435,5.000,1.184,0.845,0.929
3,69,674.036,245.457,29.799,669,241,10,9,0.976,12.207,669,242,145.008,8.485,1.501,0.666,0.920
4,45,583.078,331.967,24.385,579,328,8,8,0.951,8.602,580,335,35.538,8.000,1.044,0.958,0.857
5,55,753.718,341.555,26.385,749,338,10,7,0.993,10.770,749,339,158.199,7.000,1.433,0.698,0.917
6,50,524.980,356.280,29.799,522,351,7,10,0.708,10.817,523,351,123.690,7.000,1.583,0.632,0.840
7,181,1071.677,373.959,73.255,1063,362,19,20,0.424,23.431,1066,362,129.806,14.583,1.608,0.622,0.724
8,49,871.561,369.806,24.728,868,366,7,8,1.000,9.220,869,366,130.601,7.000,1.121,0.892,0.942
9,93,667.962,377.328,34.627,663,371,10,12,0.975,12.649,665,383,71.565,10.000,1.166,0.858,0.916
10,90,806.600,419.789,34.042,801,414,11,11,0.976,12.530,804,414,118.610,10.607,1.190,0.840,0.909
11,61,1081.500,423.844,29.213,1077,419,9,10,0.898,11.662,1079,419,120.964,8.400,1.502,0.666,0.871
12,120,1025.650,456.775,61.255,1019,449,13,17,0.402,18.385,1021,449,112.380,12.500,1.503,0.665,0.750
13,166,583.940,467.452,69.598,577,457,15,21,0.431,21.954,581,478,59.931,13.413,2.050,0.488,0.695
14,32,572.812,462.219,22.971,568,459,8,6,0.762,8.944,568,464,26.565,6.000,1.382,0.724,0.831
15,40,593.700,468.425,34.284,589,464,9,9,0.428,10.296,592,473,60.945,8.232,1.480,0.676,0.672
16,37,1020.095,469.500,21.556,1017,466,7,7,1.000,8.062,1018,466,119.745,7.000,1.094,0.914,0.881
17,28,477.143,474.929,18.971,474,472,7,6,0.978,7.616,474,473,156.801,5.657,1.360,0.735,0.862
18,57,833.114,497.851,42.870,827,493,13,10,0.390,15.264,827,501,31.608,8.066,2.426,0.412,0.659
19,89,524.489,511.669,36.627,518,507,13,9,0.834,13.892,519,516,30.256,9.000,1.469,0.681,0.886
20,101,919.104,515.332,36.627,914,509,10,13,0.946,13.601,917,509,107.103,10.000,1.266,0.790,0.918
21,318,345.890,522.475,114.711,334,511,28,22,0.304,30.871,334,512,155.095,21.428,1.460,0.685,0.682
22,39,527.449,520.295,22.971,523,517,8,7,0.929,8.544,523,519,159.444,6.957,1.175,0.851,0.867
23,117,1052.226,533.355,68.912,1045,523,15,19,0.310,19.925,1048,542,72.474,13.282,1.648,0.607,0.627
24,64,529.062,541.344,31.213,524,537,11,9,0.825,12.083,524,544,24.444,8.485,1.548,0.646,0.831
25,73,1062.815,542.582,43.355,1056,537,12,12,0.488,12.649,1061,549,71.565,11.180,1.211,0.826,0.730
26,97,668.716,562.923,35.799,664,557,10,12,0.951,13.000,666,557,112.620,10.000,1.237,0.808,0.928
27,32,432.375,566.406,20.971,429,563,7,7,0.914,9.220,429,563,139.399,5.657,1.683,0.594,0.853
28,75,1049.500,572.260,31.213,1045,567,9,11,0.967,11.180,1048,567,100.305,9.000,1.126,0.888,0.904
29,68,456.309,581.015,29.799,451,577,11,8,0.962,11.705,451,579,160.017,8.000,1.436,0.697,0.907
30,87,1118.879,581.420,40.284,1112,577,14,9,0.674,14.560,1112,584,15.945,9.000,1.886,0.530,0.821
31,81,352.117,596.043,32.971,347,591,10,10,0.936,12.806,348,601,51.340,9.707,1.316,0.760,0.926
32,36,1029.028,601.611,22.971,1025,598,8,7,0.857,10.000,1025,599,143.130,5.657,1.971,0.507,0.867
33,47,878.713,647.309,24.385,874,644,9,7,0.993,9.487,874,646,161.565,7.000,1.297,0.771,0.904
34,78,339.692,651.141,35.698,334,646,11,10,0.769,12.530,334,655,28.610,10.000,1.151,0.869,0.848
35,72,501.667,668.903,31.213,497,663,9,11,0.929,11.402,501,663,105.255,9.000,1.283,0.779,0.883
36,91,597.478,706.049,33.213,592,701,11,10,1.000,12.530,592,703,151.390,10.000,1.182,0.846,0.943
37,72,844.722,717.972,30.627,840,713,10,10,0.965,11.402,840,721,37.875,9.153,1.263,0.792,0.894
38,76,1104.882,729.132,31.799,1099,725,12,8,0.944,12.369,1099,731,14.036,8.000,1.416,0.706,0.927
39,69,979.283,735.399,35.213,974,730,10,10,0.699,12.207,975,740,55.008,9.000,1.443,0.693,0.836
40,75,592.513,768.327,37.213,588,763,9,11,0.681,12.083,590,774,65.556,9.000,1.351,0.740,0.877
41,38,800.447,770.421,21.556,797,767,7,7,1.000,8.062,798,767,119.745,7.000,1.055,0.948,0.905
42,42,987.524,869.167,23.314,984,866,7,7,0.971,9.220,984,866,139.399,7.000,1.151,0.869,0.933
43,40,560.600,931.850,25.799,557,928,7,8,0.755,9.434,558,928,122.005,6.641,1.505,0.665,0.842
44,57,706.939,948.272,27.556,703,944,8,9,0.943,10.296,704,944,119.055,8.000,1.261,0.793,0.912
45,95,681.542,980.963,34.971,677,975,9,12,0.976,13.000,679,975,112.620,9.000,1.324,0.755,0.955
