 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,32,679.188,118.625,21.556,675,116,8,6,0.865,8.944,675,117,153.435,5.814,1.718,0.582,0.842
2,29,715.155,119.638,20.142,712,116,6,7,0.898,8.602,713,116,125.538,5.657,1.637,0.611,0.866
3,33,679.227,131.652,20.728,675,129,8,5,0.965,8.544,675,133,20.556,5.000,1.611,0.621,0.917
4,30,565.300,134.700,20.142,562,131,6,7,0.929,8.602,563,138,54.462,5.657,1.636,0.611,0.857
5,41,787.305,141.329,27.799,784,136,7,10,0.667,10.440,785,146,73.301,6.128,2.009,0.498,0.774
6,37,622.149,141.635,22.728,619,138,7,7,0.900,9.220,619,145,49.399,6.708,1.373,0.728,0.892
7,29,572.983,141.914,19.314,570,139,6,6,0.977,8.485,570,145,45.000,5.657,1.507,0.664,0.921
8,29,521.259,164.810,20.142,518,162,7,6,0.898,8.602,518,168,35.538,5.547,1.695,0.590,0.866
9,27,683.056,164.759,18.728,680,162,6,6,0.967,7.211,681,162,123.690,6.000,1.145,0.874,0.871
10,30,641.400,166.833,20.142,638,164,7,6,0.929,7.810,639,164,129.806,6.000,1.338,0.747,0.857
11,27,598.130,181.722,18.728,595,179,6,6,0.967,7.810,595,184,39.806,5.657,1.360,0.735,0.885
12,66,889.076,197.212,38.870,885,189,8,15,0.549,15.033,889,189,93.814,7.778,2.060,0.485,0.746
13,32,664.375,219.500,20.728,660,217,8,5,0.936,8.246,660,219,165.964,5.000,1.468,0.681,0.914
14,36,404.417,229.222,22.142,400,226,8,6,0.923,8.944,400,231,26.565,6.000,1.454,0.688,0.889
15,28,709.036,244.321,18.728,706,241,6,6,1.000,7.810,706,242,140.194,5.814,1.295,0.772,0.889
16,25,820.060,257.900,18.142,817,255,6,6,0.954,7.211,817,260,33.690,5.367,1.351,0.740,0.847
17,27,418.130,265.981,19.314,415,263,6,6,0.910,8.485,415,269,45.000,5.547,1.661,0.602,0.885
18,102,828.510,277.029,63.941,821,268,13,21,0.314,24.698,821,268,121.759,10.183,2.966,0.337,0.616
19,28,908.393,273.571,20.142,905,270,6,7,0.867,8.602,906,270,125.538,5.547,1.658,0.603,0.848
20,27,887.537,284.537,19.314,885,281,5,7,0.910,8.062,885,288,60.255,5.000,1.667,0.600,0.885
21,26,368.962,286.077,20.971,366,282,6,8,0.743,8.544,367,290,69.444,5.199,1.823,0.549,0.754
22,32,357.906,291.094,20.971,355,287,6,8,0.914,8.544,356,287,110.556,6.000,1.449,0.690,0.853
23,30,839.233,300.533,19.556,836,297,6,7,0.986,7.616,838,297,113.199,6.000,1.245,0.804,0.870
24,70,844.200,313.700,35.213,841,306,7,14,0.709,14.318,843,306,102.095,7.000,2.162,0.463,0.864
25,80,936.800,330.087,54.527,931,319,14,20,0.338,23.854,932,319,123.024,7.453,4.070,0.246,0.565
26,36,767.417,330.417,21.556,764,327,7,7,0.974,9.220,764,327,130.601,5.657,1.620,0.617,0.911
27,25,447.380,334.380,18.142,445,331,5,7,0.954,7.616,446,338,66.801,5.000,1.591,0.629,0.862
28,38,928.711,342.289,22.142,925,339,8,6,0.974,8.944,925,340,153.435,6.000,1.364,0.733,0.916
29,43,392.779,343.407,22.971,389,340,8,7,1.000,8.944,389,341,153.435,7.000,1.245,0.803,0.896
30,38,523.579,343.500,22.142,520,340,7,7,0.974,8.602,521,340,125.538,6.641,1.313,0.762,0.894
31,35,750.243,344.986,21.556,747,341,6,8,0.947,8.944,748,341,116.565,6.000,1.571,0.636,0.875
32,36,494.028,346.667,21.213,490,343,8,7,1.000,8.544,490,345,159.444,6.364,1.316,0.760,0.857
33,29,592.603,361.500,19.314,590,358,5,7,0.977,8.062,591,358,119.745,5.000,1.509,0.663,0.921
34,617,924.513,380.850,148.167,910,366,32,29,0.353,39.205,911,394,37.747,29.000,1.221,0.819,0.770
35,33,683.076,372.742,20.142,680,369,6,7,1.000,7.616,682,369,113.199,6.000,1.166,0.857,0.904
36,171,960.921,376.096,78.811,948,369,29,16,0.346,30.364,948,384,17.241,13.172,2.645,0.378,0.609
37,27,450.463,374.537,18.728,447,372,7,5,0.967,8.062,447,372,150.255,5.000,1.667,0.600,0.885
38,36,886.500,379.944,22.142,883,376,7,7,0.923,8.602,883,383,35.538,6.641,1.334,0.749,0.889
39,46,903.913,380.587,24.971,900,376,7,9,0.927,10.296,902,385,60.945,7.000,1.480,0.675,0.911
40,38,979.158,384.316,27.314,977,378,4,12,0.640,12.166,978,378,99.462,4.000,3.053,0.328,0.884
41,46,826.783,385.761,25.556,823,382,8,8,0.885,10.000,823,389,36.870,7.155,1.413,0.708,0.868
42,34,643.500,390.000,20.142,640,387,7,6,1.000,8.062,640,392,29.745,6.000,1.275,0.784,0.919
43,30,763.267,393.100,20.142,760,390,7,6,0.929,8.602,760,390,144.462,5.657,1.617,0.618,0.870
44,133,300.432,400.064,58.426,293,393,16,15,0.490,18.028,294,408,33.690,12.522,1.464,0.683,0.776
45,29,314.569,401.086,19.071,312,398,5,6,1.000,7.810,312,404,50.194,5.000,1.215,0.823,0.983
46,41,748.110,403.256,23.556,745,399,7,8,0.928,8.944,746,399,116.565,7.000,1.274,0.785,0.882
47,26,482.308,403.577,19.314,480,400,5,7,0.876,8.062,480,407,60.255,5.000,1.700,0.588,0.867
48,25,497.820,404.300,18.728,495,401,5,7,0.896,7.280,496,401,105.945,5.000,1.483,0.674,0.847
49,28,709.143,407.750,20.971,706,404,6,8,0.800,8.544,708,412,69.444,5.367,1.733,0.577,0.812
50,26,342.000,407.500,17.314,339,405,6,5,1.000,6.708,339,406,153.435,5.000,1.184,0.845,0.929
51,31,882.435,409.081,20.142,880,405,5,8,0.960,8.544,881,413,69.444,5.000,1.556,0.643,0.899
52,39,853.141,410.064,22.142,850,406,6,8,1.000,8.544,852,406,110.556,6.000,1.320,0.757,0.918
53,86,477.802,411.221,49.113,469,408,19,7,0.448,19.647,469,409,165.256,7.000,3.539,0.283,0.708
54,30,937.800,419.133,20.142,935,416,6,7,0.929,8.062,935,416,119.745,5.814,1.376,0.727,0.870
55,30,987.300,419.200,20.142,984,416,6,7,0.929,8.062,986,423,60.255,5.814,1.406,0.711,0.870
56,29,641.672,419.603,18.728,638,417,7,5,1.000,7.616,638,421,23.199,5.000,1.373,0.728,0.921
57,26,516.346,422.885,20.142,514,419,5,8,0.805,8.246,515,427,75.964,4.919,1.763,0.567,0.839
58,32,467.312,423.625,20.728,464,420,6,7,0.936,8.602,465,420,125.538,6.000,1.449,0.690,0.889
59,41,719.524,426.915,24.142,716,423,7,8,0.884,9.220,716,424,139.399,6.641,1.320,0.758,0.863
60,73,702.705,433.541,39.456,696,427,13,11,0.589,13.601,696,433,162.897,10.956,1.325,0.755,0.716
