 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,47,891.968,193.521,30.042,887,190,10,7,0.654,10.440,887,194,16.699,7.000,1.506,0.664,0.777
2,59,885.788,210.551,27.213,881,206,9,9,1.000,9.849,884,206,113.962,8.944,1.056,0.947,0.894
3,110,971.064,243.655,38.042,965,238,12,12,0.955,13.601,966,239,126.027,11.628,1.174,0.851,0.917
4,160,677.438,260.312,55.355,670,251,14,18,0.656,20.125,672,251,116.565,13.810,1.487,0.673,0.816
5,42,779.095,299.500,24.142,776,296,7,8,0.906,9.434,777,304,57.995,7.000,1.237,0.808,0.894
6,54,840.852,395.130,25.799,836,391,9,8,1.000,9.487,836,394,161.565,8.000,1.118,0.894,0.908
7,43,386.942,401.872,33.213,380,397,11,8,0.490,11.402,380,401,164.745,8.000,1.444,0.692,0.688
8,37,500.311,404.014,27.799,497,400,7,8,0.602,8.944,499,400,116.565,7.000,1.321,0.757,0.740
9,69,844.123,405.486,34.042,838,401,12,9,0.748,13.038,839,402,147.529,8.222,1.846,0.542,0.836
10,122,974.910,407.377,40.042,969,401,12,13,0.956,14.213,970,402,129.289,12.000,1.156,0.865,0.931
11,82,435.378,427.439,32.385,431,422,9,11,0.983,11.705,433,422,109.983,9.000,1.183,0.845,0.927
12,29,901.086,427.466,29.899,895,426,14,3,0.408,14.036,895,427,175.914,3.000,4.323,0.231,0.817
13,78,477.462,461.551,32.385,473,456,9,11,0.935,11.402,476,456,105.255,9.000,1.187,0.842,0.912
14,51,797.578,528.500,25.799,794,524,8,9,0.963,9.220,794,525,130.601,8.000,1.039,0.962,0.879
15,27,372.278,536.019,31.071,365,535,15,2,0.351,15.133,365,535,172.405,2.000,6.989,0.143,0.947
16,51,1009.598,547.794,24.971,1006,543,7,9,1.000,9.487,1009,543,108.435,7.000,1.199,0.834,0.919
17,51,1047.480,568.324,25.556,1043,565,9,7,0.981,9.849,1043,566,156.038,7.000,1.294,0.773,0.919
18,49,1057.071,573.969,24.385,1053,570,8,8,1.000,8.944,1055,570,116.565,8.000,1.089,0.918,0.899
19,70,696.771,578.786,31.456,692,573,10,11,0.889,13.038,693,573,122.471,7.778,1.797,0.556,0.892
20,64,986.000,593.766,36.385,978,589,14,8,0.608,15.652,978,596,26.565,6.959,2.453,0.408,0.831
21,72,338.208,596.458,31.799,334,591,9,11,0.895,12.207,335,591,124.992,8.875,1.401,0.714,0.894
22,93,501.608,596.575,34.042,496,591,11,11,1.000,12.083,496,594,155.556,11.000,1.021,0.980,0.921
23,346,750.497,603.980,118.953,737,592,28,22,0.307,31.385,738,611,30.651,22.000,1.297,0.771,0.729
24,108,733.435,614.806,53.841,726,607,17,15,0.468,18.601,727,607,126.254,11.105,2.141,0.467,0.713
25,68,603.426,619.471,31.213,598,615,11,9,0.877,11.402,599,616,142.125,8.854,1.335,0.749,0.877
26,86,792.523,642.907,33.213,788,637,9,12,0.980,12.649,790,637,108.435,9.000,1.301,0.768,0.925
27,27,1157.759,651.389,19.556,1154,649,8,5,0.887,8.544,1154,653,20.556,4.919,1.866,0.536,0.857
28,91,757.401,684.863,34.385,753,679,9,12,0.967,13.000,755,691,67.380,9.000,1.352,0.739,0.943
29,25,333.180,682.940,31.899,325,682,15,2,0.309,15.133,325,682,172.405,2.000,7.206,0.139,0.893
30,71,823.655,708.204,29.799,818,704,11,8,1.000,11.705,818,710,19.983,8.000,1.380,0.725,0.928
31,40,824.025,722.825,22.728,820,720,8,6,0.973,9.434,820,720,147.995,6.000,1.376,0.727,0.920
32,33,751.591,737.076,27.213,746,735,11,5,0.560,11.402,746,735,164.745,5.000,2.941,0.340,0.759
33,48,632.792,748.104,24.385,629,744,8,8,1.000,9.434,629,745,147.995,7.603,1.211,0.826,0.897
34,214,436.369,761.079,66.426,429,748,14,24,0.609,24.515,432,772,78.232,12.775,2.251,0.444,0.829
35,51,372.069,788.892,44.728,363,787,21,4,0.320,21.095,363,788,174.560,4.000,7.017,0.143,0.761
36,55,375.336,800.045,27.556,371,796,9,8,0.910,10.000,371,797,143.130,8.000,1.070,0.935,0.880
37,88,865.205,805.193,34.042,860,799,10,12,0.954,12.166,865,799,99.462,10.000,1.131,0.884,0.903
38,37,785.608,846.797,21.556,782,843,7,7,1.000,8.062,784,843,119.745,6.957,1.164,0.859,0.892
39,68,608.000,855.176,34.284,602,850,12,11,0.727,15.000,602,850,143.130,7.071,2.346,0.426,0.829
40,77,805.123,861.864,34.284,799,857,12,10,0.823,12.369,799,861,165.964,9.171,1.463,0.684,0.842
41,42,514.071,895.405,26.971,509,892,9,7,0.726,10.000,510,892,143.130,7.000,1.485,0.673,0.800
42,165,698.106,929.185,67.012,688,922,19,15,0.462,19.647,688,932,14.744,14.303,1.448,0.691,0.743
43,108,555.287,957.361,37.456,549,952,13,11,0.967,13.342,549,955,167.005,11.000,1.164,0.859,0.915
44,36,719.389,986.833,22.971,716,983,7,7,0.857,8.062,718,983,119.745,7.000,1.073,0.932,0.847
