 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,172,421.622,203.820,52.284,414,196,15,15,0.791,17.804,415,210,38.157,14.636,1.154,0.866,0.889
2,73,865.541,337.226,31.799,861,332,9,10,0.907,11.402,862,342,52.125,9.000,1.063,0.941,0.907
3,26,623.731,339.115,24.385,620,336,9,7,0.549,10.296,620,343,29.055,5.209,2.412,0.415,0.642
4,112,624.554,357.205,58.426,619,348,11,17,0.412,18.788,619,348,115.201,10.630,1.819,0.550,0.744
5,141,702.791,360.365,55.598,694,354,18,13,0.573,19.313,694,357,158.749,11.543,1.846,0.542,0.820
6,52,864.115,362.269,26.385,860,358,8,9,0.939,9.487,862,358,108.435,8.000,1.190,0.840,0.881
7,36,372.472,370.528,23.314,368,368,9,5,0.832,9.849,368,373,23.962,5.000,2.039,0.490,0.900
8,75,369.647,377.767,41.698,362,374,15,8,0.542,15.524,362,379,14.931,7.951,2.415,0.414,0.761
9,33,389.136,385.591,34.042,385,382,8,7,0.358,9.220,387,382,130.601,7.000,1.210,0.827,0.680
10,59,355.076,401.195,27.799,351,396,8,10,0.959,10.198,354,406,78.690,8.000,1.167,0.857,0.887
11,109,495.261,426.702,38.627,490,420,10,14,0.918,14.560,494,434,74.055,10.000,1.407,0.711,0.924
12,43,939.686,425.872,23.556,936,422,7,8,0.974,8.944,938,430,63.435,6.957,1.298,0.770,0.896
13,37,761.365,456.338,34.042,758,452,8,8,0.401,9.434,758,459,32.005,7.761,1.231,0.812,0.673
14,66,967.379,470.833,30.385,962,467,11,8,0.898,11.402,962,472,15.255,8.000,1.293,0.773,0.892
15,49,613.827,479.929,24.971,610,476,8,8,0.988,8.944,612,484,63.435,8.000,1.043,0.959,0.899
16,27,991.315,486.315,23.314,989,481,4,10,0.624,10.770,989,491,68.199,4.000,3.177,0.315,0.857
17,43,563.198,495.988,35.799,559,492,8,8,0.422,9.434,559,498,32.005,8.000,1.227,0.815,0.754
18,299,364.125,560.236,104.811,348,549,32,24,0.342,34.176,348,551,159.444,24.000,1.207,0.828,0.589
19,159,339.173,565.362,56.527,333,555,15,19,0.625,21.095,337,556,121.430,12.814,1.740,0.575,0.813
20,81,374.809,588.327,44.870,367,581,13,13,0.506,15.264,367,585,148.392,10.243,1.499,0.667,0.711
21,34,358.206,635.235,21.899,354,633,8,5,0.891,8.944,354,633,153.435,5.000,1.543,0.648,0.932
22,47,363.989,639.032,32.870,358,634,12,10,0.547,13.601,359,644,36.027,6.277,2.986,0.335,0.671
23,26,399.500,657.346,27.213,396,654,7,7,0.441,8.062,396,660,29.745,6.791,1.266,0.790,0.634
24,51,466.559,660.794,26.142,462,657,9,7,0.938,9.849,462,663,23.962,7.000,1.307,0.765,0.911
25,67,729.933,670.470,29.213,725,666,10,9,0.987,10.817,725,668,146.310,8.944,1.204,0.830,0.899
26,59,599.059,672.025,27.799,595,667,8,10,0.959,10.770,597,677,68.199,8.000,1.314,0.761,0.901
27,39,650.628,670.833,31.213,647,667,8,8,0.503,8.944,649,675,63.435,8.000,1.171,0.854,0.722
28,57,869.798,679.289,27.556,866,675,8,9,0.943,10.296,867,675,119.055,8.000,1.238,0.808,0.905
