 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,33,552.985,229.773,23.556,550,225,6,9,0.747,9.849,551,234,66.038,5.425,2.115,0.473,0.795
2,58,587.086,244.345,39.213,583,238,7,14,0.474,14.560,586,252,74.055,7.000,2.472,0.405,0.758
3,70,955.386,249.014,29.799,951,244,9,10,0.991,11.180,953,254,63.435,9.000,1.206,0.829,0.921
4,43,915.709,251.198,23.556,912,247,7,8,0.974,9.434,913,255,57.995,7.000,1.294,0.773,0.905
5,42,926.429,266.929,22.971,923,263,7,8,1.000,8.944,924,263,116.565,6.957,1.298,0.771,0.884
6,73,936.842,282.034,43.456,929,275,14,12,0.486,17.804,929,286,38.157,8.372,2.483,0.403,0.692
7,83,880.476,284.223,32.627,875,279,11,10,0.980,11.705,875,282,160.017,9.899,1.149,0.870,0.922
8,50,543.080,296.120,25.556,539,292,8,8,0.962,10.000,540,300,53.130,7.778,1.225,0.817,0.909
9,57,998.798,306.395,27.799,994,303,10,7,0.927,11.180,994,309,26.565,7.000,1.552,0.644,0.919
10,45,477.567,310.589,24.142,474,306,7,8,0.970,9.434,474,314,57.995,7.000,1.171,0.854,0.928
11,130,544.377,326.362,46.527,538,318,13,17,0.755,18.028,541,335,70.560,10.286,1.985,0.504,0.831
12,33,885.288,321.773,20.728,882,318,6,7,0.965,8.062,883,325,60.255,6.000,1.289,0.776,0.892
13,72,723.764,326.042,31.213,719,321,10,10,0.929,10.817,720,330,56.310,9.839,1.074,0.931,0.889
14,266,698.000,384.838,99.296,687,371,21,28,0.339,30.871,687,371,114.905,17.445,2.052,0.487,0.698
15,36,958.222,375.417,25.799,954,372,9,8,0.680,11.402,954,380,37.875,5.814,2.321,0.431,0.766
16,48,614.458,384.167,25.556,611,380,7,9,0.924,9.487,612,380,108.435,7.000,1.237,0.809,0.889
17,63,898.325,389.008,29.213,894,384,9,10,0.928,10.630,895,385,131.186,8.497,1.237,0.808,0.875
18,35,715.700,392.329,22.728,712,389,7,7,0.851,9.220,712,395,40.601,6.934,1.407,0.711,0.843
19,62,651.226,421.887,28.971,647,417,8,10,0.928,10.440,649,417,106.699,8.000,1.274,0.785,0.899
20,50,477.740,424.460,24.971,473,421,9,7,1.000,9.487,473,425,18.435,7.000,1.196,0.836,0.909
21,57,701.430,425.149,26.971,697,421,9,8,0.985,10.296,697,428,29.055,8.000,1.255,0.797,0.919
22,69,615.935,427.181,29.556,612,422,8,10,0.993,11.180,613,432,63.435,8.000,1.226,0.816,0.945
23,57,1016.325,431.202,26.971,1012,427,9,8,0.985,10.000,1014,427,126.870,8.000,1.159,0.863,0.919
24,58,696.862,434.638,26.971,693,430,8,9,1.000,10.817,694,430,123.690,8.000,1.282,0.780,0.921
25,53,1100.368,452.406,25.556,1096,449,9,7,1.000,9.849,1096,450,156.038,7.000,1.268,0.788,0.938
26,58,731.431,471.276,27.556,728,466,7,10,0.960,10.770,730,466,111.801,7.000,1.404,0.712,0.921
27,34,1041.559,477.206,21.556,1038,474,7,6,0.919,8.062,1038,475,150.255,6.000,1.213,0.824,0.883
28,60,1057.600,480.517,28.385,1052,477,11,7,0.936,11.402,1052,479,164.745,7.000,1.416,0.706,0.909
