 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,40,626.200,66.900,24.971,622,64,8,7,0.806,9.434,622,69,32.005,7.000,1.311,0.763,0.842
2,36,597.167,75.583,26.971,592,73,10,5,0.622,10.770,592,77,21.801,5.000,2.197,0.455,0.818
3,27,717.796,89.833,19.556,715,86,6,7,0.887,7.616,717,86,113.199,5.814,1.440,0.695,0.806
4,39,708.526,101.269,26.385,706,96,6,10,0.704,10.440,708,96,106.699,5.940,2.075,0.482,0.772
5,114,619.456,102.693,54.770,612,97,16,11,0.478,16.643,613,97,147.265,11.000,1.617,0.618,0.806
6,54,795.593,110.148,27.556,791,106,9,8,0.894,11.402,791,107,142.125,7.488,1.608,0.622,0.893
7,210,603.481,115.929,68.770,591,109,24,14,0.558,25.554,592,109,149.421,12.748,2.457,0.407,0.797
8,62,527.758,117.419,28.627,524,112,8,11,0.951,11.402,526,112,105.255,8.000,1.372,0.729,0.886
9,56,567.268,124.857,26.385,563,121,9,8,1.000,9.849,563,127,23.962,8.000,1.126,0.888,0.918
10,260,521.696,142.638,99.640,511,131,22,26,0.329,32.016,513,156,51.340,17.240,2.345,0.426,0.698
11,74,567.770,136.284,30.627,563,131,10,10,0.991,10.817,563,139,33.690,9.839,1.095,0.913,0.902
12,122,737.287,145.877,66.669,730,136,14,17,0.345,18.439,730,151,40.601,13.433,1.515,0.660,0.663
13,331,443.923,156.576,99.882,427,146,35,19,0.417,36.688,427,148,162.553,17.079,2.443,0.409,0.707
14,37,770.770,150.959,28.627,765,148,11,6,0.567,11.402,765,151,164.745,5.657,2.389,0.419,0.718
15,58,770.345,157.293,41.941,764,153,12,10,0.414,13.892,764,153,149.744,8.485,1.643,0.609,0.695
16,48,484.375,173.271,24.971,480,169,8,8,0.967,9.220,481,176,40.601,7.906,1.111,0.900,0.889
17,55,503.955,179.827,26.728,500,176,8,8,0.967,10.000,500,183,36.870,8.000,1.112,0.900,0.932
18,53,643.462,195.934,25.799,639,192,9,8,1.000,9.849,639,194,156.038,7.778,1.206,0.829,0.906
19,61,719.730,196.615,44.527,713,193,13,9,0.387,13.342,713,194,167.005,8.910,1.757,0.569,0.674
20,27,530.463,207.167,18.728,528,204,6,6,0.967,7.211,528,210,56.310,6.000,1.112,0.899,0.885
21,86,617.186,212.430,35.799,613,206,8,14,0.843,14.560,614,206,105.945,8.000,1.825,0.548,0.920
22,40,458.625,211.200,30.971,455,208,8,7,0.524,8.944,455,214,26.565,7.000,1.235,0.810,0.816
23,132,363.689,219.242,53.698,358,210,11,18,0.575,18.682,363,228,74.476,10.643,1.932,0.518,0.798
24,67,918.530,242.843,29.213,914,238,9,10,0.987,10.817,916,238,123.690,9.000,1.198,0.835,0.899
25,48,529.500,249.917,31.556,526,242,7,12,0.606,12.369,529,242,104.036,7.000,1.567,0.638,0.774
