 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,61,977.762,8.828,38.284,971,4,13,10,0.523,13.928,971,5,158.962,9.459,1.396,0.716,0.682
2,53,923.104,10.557,41.698,918,5,10,10,0.383,10.770,918,9,158.199,9.600,1.058,0.946,0.684
3,35,1026.700,10.329,24.142,1023,8,9,6,0.755,10.296,1023,13,29.055,6.000,1.949,0.513,0.854
4,29,818.500,13.259,24.971,816,9,6,8,0.584,9.434,817,9,122.005,5.769,2.060,0.486,0.725
5,153,1016.114,16.755,77.841,1007,9,18,15,0.317,20.248,1008,13,147.095,15.000,1.352,0.739,0.700
6,25,1076.580,13.540,24.971,1072,11,10,5,0.504,11.180,1072,11,153.435,3.900,3.761,0.266,0.714
7,34,970.706,18.765,31.799,968,13,5,13,0.423,13.342,969,26,77.005,5.000,3.643,0.275,0.624
8,34,953.088,21.500,31.556,949,17,8,9,0.429,12.042,949,17,131.634,6.261,2.170,0.461,0.630
9,33,1090.409,25.076,26.971,1086,21,8,8,0.570,10.630,1087,29,48.814,6.174,2.043,0.490,0.688
10,99,980.581,29.187,53.698,973,22,19,12,0.431,19.647,973,28,165.256,11.535,1.975,0.506,0.637
11,26,929.269,27.654,23.556,926,23,6,9,0.589,10.296,927,23,119.055,4.085,3.207,0.312,0.722
12,47,989.819,26.670,39.213,982,23,13,9,0.384,15.811,982,23,145.305,7.717,2.296,0.435,0.595
13,33,888.621,26.439,34.627,882,24,14,5,0.346,14.036,882,25,175.914,5.000,3.285,0.304,0.589
14,30,1113.000,31.800,24.385,1108,29,10,5,0.634,10.440,1108,31,163.301,5.000,2.278,0.439,0.769
15,48,1085.458,35.021,42.627,1080,30,13,9,0.332,14.765,1080,38,28.301,7.960,2.098,0.477,0.575
16,26,890.615,36.423,26.728,887,33,7,6,0.457,9.220,887,39,40.601,6.000,1.505,0.665,0.684
17,27,1164.944,36.426,25.799,1161,33,8,7,0.510,8.944,1161,35,153.435,7.000,1.309,0.764,0.635
18,32,839.906,38.812,33.213,834,34,11,8,0.365,11.662,834,40,30.964,6.261,2.090,0.479,0.582
19,47,1112.691,39.926,38.284,1107,35,11,10,0.403,14.866,1107,35,137.726,6.833,2.752,0.363,0.657
20,25,764.740,39.820,30.627,759,37,10,7,0.335,11.662,759,38,149.036,5.814,2.180,0.459,0.538
21,50,1027.820,44.820,34.870,1021,41,14,8,0.517,14.318,1021,44,167.905,7.056,2.221,0.450,0.680
22,31,758.984,44.726,28.627,753,42,11,6,0.475,11.705,753,43,160.017,5.261,2.952,0.339,0.653
23,27,990.056,50.130,22.142,985,47,9,5,0.692,9.220,985,52,12.529,5.000,1.559,0.641,0.831
24,63,1083.738,53.722,40.870,1079,47,8,15,0.474,16.553,1079,47,115.017,7.809,2.741,0.365,0.674
25,36,1072.861,51.889,24.971,1069,48,7,9,0.726,10.296,1071,57,60.945,6.364,1.599,0.625,0.818
26,26,856.962,54.692,20.142,855,51,5,8,0.805,8.246,856,59,75.964,5.000,1.729,0.578,0.839
27,31,1092.855,55.306,30.627,1090,51,7,9,0.415,10.817,1090,51,123.690,6.434,2.050,0.488,0.646
28,33,1017.591,58.500,26.385,1015,53,5,10,0.596,10.198,1017,53,101.310,5.000,2.398,0.417,0.776
29,34,966.912,57.647,32.042,961,55,12,6,0.416,12.166,961,57,170.538,5.458,2.905,0.344,0.581
30,32,626.375,62.594,29.213,622,59,9,7,0.471,10.817,622,66,33.690,6.200,2.307,0.434,0.688
31,87,814.006,69.902,40.627,808,63,10,15,0.662,15.297,814,63,101.310,9.944,1.428,0.700,0.817
32,44,1093.273,66.159,34.042,1087,63,12,7,0.477,12.530,1087,64,151.390,7.000,2.086,0.479,0.667
