 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,104,870.029,251.529,36.042,865,245,10,13,1.000,13.601,868,245,107.103,10.000,1.255,0.797,0.937
2,90,491.844,275.156,34.627,487,269,10,12,0.943,13.038,489,269,122.471,10.000,1.292,0.774,0.909
3,87,916.086,280.626,46.284,910,275,12,11,0.510,13.038,911,284,32.471,10.956,1.182,0.846,0.798
4,43,670.384,322.826,25.799,666,319,9,8,0.812,10.000,667,326,36.870,7.028,1.698,0.589,0.819
5,66,934.273,357.621,29.213,929,353,10,9,0.972,10.770,929,356,158.199,9.000,1.232,0.811,0.892
6,33,523.712,404.561,22.971,521,401,6,8,0.786,8.944,521,409,63.435,6.000,1.303,0.767,0.825
7,49,1055.908,406.786,29.456,1052,401,8,11,0.710,11.180,1055,401,100.305,7.845,1.462,0.684,0.772
8,70,539.343,411.329,30.142,535,407,9,9,0.968,10.817,535,408,146.310,9.000,1.048,0.954,0.940
9,45,551.900,416.322,23.556,548,413,8,7,1.000,8.944,548,414,153.435,7.000,1.201,0.832,0.918
10,121,1099.996,442.202,40.042,1094,436,12,13,0.948,13.892,1096,448,59.744,12.000,1.066,0.938,0.924
11,212,636.783,453.698,68.083,625,447,21,16,0.575,21.954,625,450,149.931,16.000,1.480,0.676,0.830
12,127,395.791,456.650,40.627,389,451,14,11,0.967,14.866,389,460,19.654,11.000,1.253,0.798,0.937
13,143,542.885,483.066,66.426,537,471,10,23,0.407,23.409,538,493,70.017,10.000,3.245,0.308,0.757
14,87,352.029,480.029,34.042,346,475,12,10,0.943,13.038,347,476,147.529,9.803,1.373,0.728,0.902
15,51,359.186,499.127,26.627,354,495,10,8,0.904,11.180,354,497,153.435,7.071,1.641,0.609,0.864
16,124,491.629,531.476,58.770,485,523,12,17,0.451,18.028,485,538,56.310,11.841,1.523,0.657,0.713
17,215,744.244,564.342,78.669,735,555,19,18,0.437,21.260,736,572,48.814,18.000,1.099,0.910,0.779
18,214,944.477,576.743,94.326,932,569,24,15,0.302,25.942,932,571,152.447,15.000,1.865,0.536,0.702
19,94,576.266,576.766,40.870,571,570,11,14,0.707,14.560,574,584,74.055,10.186,1.753,0.570,0.793
20,170,564.406,588.659,79.740,558,578,14,22,0.336,22.561,562,578,102.804,13.252,2.075,0.482,0.716
21,96,882.938,587.083,35.213,878,581,10,12,0.973,12.806,879,582,128.660,10.000,1.187,0.842,0.923
22,40,552.650,587.950,26.385,550,583,6,9,0.722,10.296,550,583,119.055,6.000,1.591,0.629,0.851
23,90,972.111,598.956,38.870,967,592,10,14,0.749,16.125,967,592,119.745,9.153,1.902,0.526,0.857
24,81,675.241,598.698,38.870,669,594,13,10,0.674,13.416,670,602,26.565,9.391,1.551,0.645,0.822
25,92,624.130,613.152,49.113,615,607,15,13,0.479,17.692,616,607,137.291,10.796,1.963,0.510,0.697
26,187,442.297,629.816,62.770,432,622,21,16,0.596,22.847,432,634,23.199,12.075,2.266,0.441,0.813
27,102,749.539,640.510,50.770,743,632,12,18,0.497,18.248,749,632,99.462,11.714,1.650,0.606,0.685
28,97,617.253,643.376,35.213,612,638,11,11,0.983,13.038,614,649,57.529,10.607,1.188,0.842,0.937
29,30,1078.467,668.100,19.556,1075,665,7,6,0.986,7.280,1075,667,164.055,6.000,1.102,0.908,0.870
30,128,395.727,675.539,41.698,389,669,13,14,0.925,14.142,395,669,98.130,13.000,1.031,0.970,0.898
31,48,1039.604,680.000,26.385,1034,676,10,7,0.866,10.770,1034,682,21.801,7.000,1.596,0.627,0.873
32,27,978.796,682.722,25.314,973,681,11,4,0.529,11.402,973,684,15.255,4.000,3.449,0.290,0.771
33,34,895.000,685.853,20.485,892,683,6,6,1.000,7.810,892,683,129.806,6.000,1.004,0.996,0.971
34,28,980.464,688.786,23.556,976,686,10,5,0.634,10.440,976,691,16.699,4.608,2.472,0.405,0.789
35,57,418.518,697.746,32.385,414,693,9,11,0.683,13.038,415,704,57.529,7.555,2.002,0.500,0.792
36,61,614.238,699.467,34.870,609,695,11,11,0.630,13.038,613,706,57.529,9.010,1.397,0.716,0.722
37,114,530.982,704.904,38.042,525,699,12,12,0.990,13.416,525,702,153.435,12.000,1.078,0.928,0.927
38,72,423.208,706.389,30.627,418,702,11,9,0.965,11.705,418,709,19.983,8.854,1.358,0.736,0.900
39,52,978.942,725.192,43.113,972,721,14,8,0.352,14.866,972,724,160.346,8.000,2.310,0.433,0.556
40,93,942.489,760.414,35.799,936,756,13,9,0.912,13.342,936,759,167.005,9.000,1.360,0.735,0.921
41,107,855.752,783.893,50.284,849,779,16,12,0.532,19.416,849,791,34.509,11.513,1.739,0.575,0.787
42,36,772.000,796.333,22.385,768,793,8,7,0.903,8.602,768,794,144.462,6.708,1.362,0.734,0.828
43,56,778.679,814.750,26.627,774,810,9,9,0.993,10.296,774,817,29.055,7.778,1.264,0.791,0.889
44,126,572.246,883.302,53.355,564,876,15,15,0.556,17.493,566,876,120.964,12.481,1.600,0.625,0.783
45,428,797.589,903.579,101.054,785,892,25,26,0.527,30.232,791,892,124.216,23.419,1.082,0.925,0.827
46,26,716.115,957.500,26.627,711,954,9,7,0.461,10.296,711,956,150.945,6.002,1.977,0.506,0.619
