 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,54,607.204,220.667,26.627,603,216,9,9,0.957,9.487,603,223,18.435,8.485,1.096,0.912,0.864
2,57,652.272,245.096,26.971,648,241,9,8,0.985,10.296,648,248,29.055,8.000,1.268,0.789,0.919
3,79,899.576,273.411,32.042,894,268,11,10,0.967,11.705,894,275,19.983,9.899,1.187,0.842,0.898
4,52,582.615,278.423,26.142,578,275,9,7,0.956,10.000,579,282,36.870,7.000,1.304,0.767,0.920
5,81,928.500,283.377,32.971,924,278,9,11,0.936,11.705,926,278,109.983,9.000,1.224,0.817,0.920
6,128,973.539,288.484,51.355,965,282,18,12,0.610,18.974,965,284,161.565,9.911,2.214,0.452,0.808
7,43,546.547,291.384,23.556,543,287,7,8,0.974,9.899,543,288,135.000,7.000,1.390,0.719,0.905
8,145,803.576,302.466,53.598,794,294,18,15,0.634,20.125,794,306,26.565,12.413,1.608,0.622,0.812
9,43,632.012,302.337,23.556,628,299,8,7,0.974,9.220,629,299,130.601,7.000,1.300,0.769,0.905
10,45,716.011,318.567,25.799,712,314,8,9,0.850,10.296,714,323,60.945,6.860,1.686,0.593,0.849
11,30,706.167,327.200,25.213,703,322,6,9,0.593,9.849,704,331,66.038,5.814,2.098,0.477,0.714
12,68,473.882,328.441,29.799,469,324,10,9,0.962,11.402,470,324,127.875,8.944,1.288,0.776,0.901
13,185,715.776,334.186,86.569,702,324,23,20,0.310,24.042,702,334,163.072,19.292,1.167,0.857,0.613
14,60,978.883,340.267,28.142,974,337,10,7,0.952,10.770,974,342,21.801,7.000,1.401,0.714,0.938
15,49,712.439,348.112,26.627,708,344,9,9,0.868,9.849,711,353,66.038,7.600,1.269,0.788,0.838
16,67,726.649,364.918,29.799,722,360,9,10,0.948,10.817,723,369,56.310,9.000,1.175,0.851,0.899
17,33,670.924,376.773,27.799,667,373,8,8,0.537,10.630,667,373,131.186,5.657,2.372,0.422,0.717
18,67,390.396,390.515,31.213,385,385,10,10,0.864,11.662,385,388,149.036,8.875,1.327,0.754,0.865
19,40,921.825,413.700,22.971,918,410,8,7,0.953,8.602,920,410,125.538,6.791,1.312,0.762,0.870
20,79,429.994,420.677,31.799,425,416,11,9,0.982,11.662,425,424,30.964,9.000,1.142,0.876,0.924
21,77,467.149,424.760,40.870,462,418,11,12,0.579,13.038,462,429,57.529,11.000,1.121,0.892,0.766
22,60,477.217,423.567,27.556,473,419,8,9,0.993,10.296,475,419,119.055,8.000,1.203,0.832,0.930
23,65,589.592,424.854,29.799,584,421,11,8,0.920,11.705,584,423,160.017,8.000,1.421,0.704,0.903
24,31,455.048,426.661,20.971,451,423,8,6,0.886,8.246,451,428,14.036,6.000,1.365,0.733,0.849
25,60,796.200,433.517,28.142,792,429,8,9,0.952,10.817,793,438,56.310,8.000,1.207,0.829,0.923
26,66,903.455,437.379,30.385,899,432,9,10,0.898,11.402,900,442,52.125,8.497,1.285,0.778,0.886
27,60,993.250,438.767,28.385,989,434,8,10,0.936,10.198,992,434,101.310,8.000,1.182,0.846,0.896
28,289,953.192,459.465,70.083,944,447,19,26,0.739,27.514,947,447,109.093,14.512,1.957,0.511,0.898
29,44,463.886,457.227,28.385,458,454,11,6,0.686,11.180,458,456,169.695,6.000,1.945,0.514,0.800
30,73,828.212,461.842,30.627,823,457,11,9,0.978,11.402,823,460,164.745,9.000,1.238,0.808,0.907
31,96,735.115,465.115,34.627,730,459,10,12,1.000,12.649,733,459,108.435,10.000,1.175,0.851,0.932
32,49,632.704,463.337,25.556,628,460,9,7,0.943,10.296,628,461,150.945,7.000,1.438,0.695,0.891
33,45,878.478,476.433,25.556,874,473,9,7,0.866,10.817,874,479,33.690,6.600,1.826,0.548,0.882
34,87,1062.580,488.960,33.213,1057,484,11,10,0.991,12.207,1058,485,145.008,10.000,1.177,0.850,0.921
35,57,939.307,519.237,27.799,934,515,10,8,0.927,10.440,934,520,16.699,8.000,1.319,0.758,0.870
36,65,633.992,520.577,28.971,630,516,8,10,0.973,10.817,631,525,56.310,8.000,1.211,0.826,0.929
37,42,848.381,523.905,22.971,845,520,7,8,1.000,9.220,845,527,40.601,7.000,1.251,0.800,0.894
38,54,910.833,528.481,26.142,906,525,9,7,0.993,9.849,906,527,156.038,7.000,1.222,0.818,0.939
39,101,671.649,544.916,59.598,662,540,17,10,0.357,19.235,662,541,152.103,9.687,1.938,0.516,0.729
40,34,654.794,547.882,26.385,650,545,9,6,0.614,10.296,650,551,29.055,6.000,1.626,0.615,0.747
41,103,650.597,556.364,60.426,641,548,17,16,0.354,22.627,641,548,135.000,10.171,2.275,0.440,0.638
42,64,484.281,552.453,29.556,479,549,11,7,0.921,11.180,479,551,169.695,7.000,1.432,0.699,0.928
43,45,1049.056,555.278,34.385,1044,549,9,11,0.478,13.038,1044,560,57.529,7.905,2.025,0.494,0.647
44,90,664.067,562.711,40.042,658,557,13,11,0.705,15.264,658,568,31.608,10.956,1.390,0.720,0.833
45,51,714.127,573.696,25.556,711,569,7,9,0.981,9.849,712,569,113.962,7.000,1.330,0.752,0.927
46,49,876.582,575.622,24.971,873,571,7,9,0.988,9.487,875,580,71.565,7.000,1.240,0.806,0.907
47,66,747.894,578.000,28.971,744,573,8,10,0.988,10.770,746,573,111.801,8.000,1.263,0.792,0.930
48,82,422.476,579.549,32.385,417,575,11,9,0.983,12.083,417,577,155.556,9.000,1.281,0.781,0.927
49,28,802.143,580.036,18.142,799,577,6,6,1.000,7.211,799,578,146.310,6.000,1.136,0.880,0.889
50,119,987.324,598.861,53.355,980,592,15,14,0.525,18.028,980,592,146.310,13.598,1.446,0.692,0.770
51,56,448.893,598.375,26.385,445,594,8,9,1.000,10.296,446,594,119.055,7.778,1.294,0.773,0.926
52,62,831.597,598.823,28.385,827,594,9,9,0.967,10.817,827,602,33.690,8.485,1.317,0.759,0.919
53,49,973.786,602.398,36.042,970,597,9,11,0.474,11.705,970,597,109.983,8.728,1.552,0.644,0.700
54,125,960.964,613.172,57.598,953,604,16,17,0.473,19.416,953,617,34.509,11.226,2.007,0.498,0.737
55,67,433.963,611.052,28.385,429,607,10,8,1.000,10.770,429,609,158.199,8.000,1.245,0.803,0.937
56,49,914.051,621.827,25.556,910,618,9,7,0.943,9.849,910,625,23.962,7.000,1.246,0.802,0.916
57,71,680.021,635.570,30.385,676,630,8,11,0.966,11.705,678,641,70.017,8.000,1.370,0.730,0.928
58,110,436.718,642.473,47.113,428,637,16,10,0.623,17.088,428,646,20.556,10.000,1.651,0.606,0.849
59,102,403.696,651.892,39.799,399,646,10,12,0.809,14.213,399,646,129.289,10.000,1.184,0.845,0.919
60,36,973.417,656.778,25.799,969,653,9,8,0.680,11.402,969,660,37.875,5.622,2.623,0.381,0.742
61,35,336.014,659.614,26.385,333,655,6,10,0.632,10.440,333,655,106.699,5.830,2.081,0.481,0.737
62,51,1109.284,662.892,25.556,1105,659,8,8,0.981,10.000,1106,659,126.870,7.778,1.251,0.799,0.919
