 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,79,620.854,151.411,32.042,616,146,10,11,0.967,12.207,618,146,124.992,9.192,1.314,0.761,0.903
2,28,768.000,150.500,18.485,765,148,6,5,1.000,7.810,765,148,140.194,5.000,1.266,0.790,0.966
3,35,665.586,154.386,22.142,661,152,9,5,0.897,9.487,661,153,161.565,5.000,1.886,0.530,0.897
4,28,637.321,160.714,18.728,635,157,5,7,1.000,7.616,636,157,113.199,5.000,1.451,0.689,0.903
5,30,685.700,162.933,19.314,683,160,6,6,1.000,7.810,683,166,39.806,6.000,1.243,0.805,0.923
6,42,759.190,164.905,23.556,755,161,8,7,0.951,8.944,755,167,26.565,7.000,1.225,0.816,0.894
7,125,772.228,176.716,69.598,765,170,13,18,0.324,19.723,766,171,120.466,12.587,1.386,0.721,0.689
8,194,788.902,181.216,60.184,781,171,14,21,0.673,22.136,788,171,108.435,14.000,1.705,0.587,0.842
9,35,865.186,174.671,20.728,862,171,6,7,1.000,8.062,863,178,60.255,6.000,1.245,0.803,0.921
10,25,887.340,175.420,18.142,884,173,7,5,0.954,7.616,884,177,23.199,5.000,1.498,0.668,0.862
11,180,876.572,188.406,54.770,869,178,17,18,0.754,18.682,871,196,74.476,16.263,1.097,0.912,0.872
12,29,918.810,199.741,20.728,916,196,5,8,0.848,8.544,918,204,69.444,5.000,1.715,0.583,0.879
13,26,974.885,202.846,18.142,972,200,6,6,0.993,7.211,972,205,33.690,5.814,1.207,0.828,0.852
14,29,521.086,219.914,18.728,518,217,6,6,1.000,7.810,518,222,39.806,5.657,1.354,0.738,0.921
15,46,508.043,223.674,25.799,504,219,8,9,0.868,10.000,505,228,53.130,6.685,1.561,0.641,0.844
16,53,967.217,225.575,28.385,964,220,7,11,0.827,11.402,966,231,74.745,7.000,1.691,0.591,0.862
17,64,516.500,235.000,28.142,512,231,9,8,1.000,10.817,512,238,33.690,8.000,1.181,0.846,0.955
18,36,997.833,244.111,21.556,994,241,8,6,0.974,8.544,994,246,20.556,6.000,1.229,0.814,0.889
19,50,484.560,254.760,25.799,480,251,9,8,0.944,10.296,480,257,29.055,7.155,1.460,0.685,0.877
20,68,564.926,257.941,30.042,560,253,10,10,0.947,11.662,560,255,149.036,8.485,1.365,0.733,0.883
21,34,717.500,258.000,20.142,714,255,7,6,1.000,8.062,714,260,29.745,6.000,1.275,0.784,0.919
22,40,1019.275,258.825,22.971,1015,255,8,7,0.953,9.220,1016,262,40.601,7.000,1.293,0.774,0.870
23,42,883.000,282.000,23.314,880,278,6,8,0.971,10.000,880,286,53.130,6.000,1.474,0.678,0.955
24,26,899.462,283.808,17.899,897,281,5,6,1.000,7.211,897,281,123.690,5.000,1.203,0.831,0.929
