 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,164,740.006,137.256,69.740,733,126,16,21,0.424,23.854,736,147,56.976,12.719,2.051,0.488,0.674
2,89,772.871,153.837,44.284,764,148,16,11,0.570,17.088,764,155,20.556,8.497,2.505,0.399,0.742
3,231,862.855,160.206,86.326,852,151,22,19,0.390,24.413,852,165,34.992,15.652,1.717,0.582,0.751
4,120,679.367,179.775,53.113,670,173,16,13,0.535,17.493,670,184,30.964,13.000,1.459,0.685,0.729
5,32,779.688,176.438,20.142,776,173,7,6,0.991,8.062,776,175,150.255,6.000,1.275,0.784,0.889
6,25,662.740,182.460,17.314,660,180,6,5,1.000,7.211,660,185,33.690,5.000,1.293,0.773,0.926
7,57,853.535,184.061,26.385,849,180,9,8,1.000,9.849,849,182,156.038,8.000,1.180,0.848,0.912
8,41,692.402,191.476,25.899,690,187,5,9,0.768,10.296,690,187,119.055,5.000,1.930,0.518,0.921
9,168,943.369,197.024,81.154,934,188,19,17,0.321,20.518,938,188,133.025,17.000,1.080,0.926,0.645
10,47,663.628,192.670,24.728,660,189,7,8,0.966,9.220,660,195,40.601,7.000,1.101,0.908,0.931
11,42,775.262,200.333,23.556,771,197,8,7,0.951,8.944,771,202,26.565,7.000,1.244,0.804,0.884
12,60,585.750,206.167,28.385,581,202,10,8,0.936,11.402,581,203,142.125,8.000,1.514,0.660,0.896
13,41,777.159,208.915,22.728,774,205,6,8,0.997,8.944,775,205,116.565,6.000,1.334,0.750,0.932
14,30,839.400,217.467,20.142,836,214,6,7,0.929,8.602,837,214,125.538,5.657,1.564,0.640,0.882
15,47,527.989,222.096,25.799,524,218,8,9,0.887,9.487,527,227,71.565,7.589,1.260,0.793,0.847
16,83,776.886,226.705,44.627,772,220,9,15,0.524,16.553,773,220,115.017,8.728,2.272,0.440,0.741
17,47,487.053,236.819,24.971,482,234,10,6,0.947,10.440,482,235,163.301,6.000,1.594,0.627,0.922
18,42,972.286,236.857,25.799,967,234,10,6,0.793,10.770,967,235,158.199,6.000,1.927,0.519,0.840
19,48,941.917,238.062,37.799,932,235,15,7,0.422,15.811,932,236,161.565,7.000,2.305,0.434,0.644
20,52,614.481,239.500,31.799,609,236,12,8,0.646,13.892,609,244,30.256,7.155,1.976,0.506,0.794
21,74,763.365,240.986,31.213,759,236,9,11,0.954,12.083,760,236,114.444,9.000,1.299,0.770,0.919
22,36,951.000,260.194,21.314,948,257,6,7,0.996,8.485,948,257,135.000,6.000,1.172,0.853,0.935
23,200,902.800,269.580,85.740,893,258,24,24,0.342,29.206,894,259,141.953,12.747,2.706,0.370,0.635
24,57,824.746,268.202,33.456,821,262,7,13,0.640,13.342,823,262,102.995,6.548,2.261,0.442,0.809
25,97,886.139,272.448,47.698,882,264,9,17,0.536,18.028,884,281,70.560,8.138,2.570,0.389,0.743
26,70,551.700,273.000,34.385,547,267,10,11,0.744,14.213,547,267,129.289,8.485,1.825,0.548,0.833
27,46,444.543,272.261,24.971,440,269,9,7,0.927,9.849,440,274,23.962,6.957,1.485,0.674,0.885
28,104,894.058,286.337,54.770,883,278,20,15,0.436,21.633,883,291,33.690,9.649,3.150,0.317,0.652
29,39,555.115,286.192,22.142,551,283,8,6,1.000,9.434,551,284,147.995,6.000,1.467,0.682,0.918
30,54,858.815,289.500,28.142,856,284,6,11,0.857,11.180,858,284,100.305,6.000,1.745,0.573,0.915
31,80,754.487,291.137,33.213,750,285,9,12,0.911,12.649,752,297,71.565,8.944,1.437,0.696,0.899
32,28,791.214,292.714,19.556,788,289,6,7,0.920,8.062,789,296,60.255,5.270,1.675,0.597,0.848
33,33,1066.258,297.076,20.142,1063,294,7,6,1.000,7.616,1063,295,156.801,6.000,1.166,0.857,0.904
34,32,511.844,298.469,20.142,509,295,6,7,0.991,8.062,510,295,119.745,6.000,1.320,0.758,0.889
35,62,796.323,304.323,30.284,791,299,10,11,0.850,11.402,792,308,37.875,7.778,1.583,0.632,0.827
36,102,453.500,313.000,36.627,448,307,11,12,0.955,13.000,451,319,67.380,11.000,1.108,0.903,0.919
37,40,689.275,320.400,22.728,686,317,7,7,0.973,9.220,686,317,130.601,7.000,1.257,0.796,0.920
38,63,856.325,321.071,28.385,851,317,10,8,0.983,10.817,852,318,146.310,8.000,1.255,0.797,0.913
39,27,814.167,321.833,18.728,811,319,6,6,0.967,8.485,811,319,135.000,4.950,1.695,0.590,0.915
40,27,940.907,334.981,18.142,938,332,6,6,1.000,7.211,938,337,33.690,5.657,1.316,0.760,0.885
41,32,702.844,338.812,20.142,699,336,7,6,0.991,8.062,699,340,29.745,6.000,1.231,0.812,0.901
42,26,763.346,341.846,17.899,761,339,5,6,1.000,7.211,761,339,123.690,5.000,1.224,0.817,0.929
43,35,1054.271,341.871,20.728,1051,339,7,6,1.000,8.062,1051,344,29.745,6.000,1.169,0.856,0.921
44,27,552.500,343.500,18.142,550,340,5,7,1.000,7.616,551,340,113.199,5.000,1.438,0.695,0.900
45,28,792.893,346.321,22.971,789,343,7,7,0.667,8.062,792,350,60.255,6.864,1.142,0.876,0.757
46,49,846.684,350.827,26.971,842,347,10,7,0.846,10.770,842,353,21.801,7.000,1.663,0.601,0.860
47,29,729.224,368.914,18.728,726,366,6,6,1.000,7.211,727,366,123.690,6.000,1.076,0.929,0.906
48,55,704.027,373.845,27.213,699,370,10,8,0.933,10.198,699,373,168.690,8.000,1.281,0.781,0.866
49,106,413.028,378.858,57.598,405,374,18,12,0.402,19.698,405,383,23.962,10.534,2.511,0.398,0.700
50,35,400.300,382.300,26.142,396,377,7,9,0.644,10.817,396,386,56.310,6.379,1.933,0.517,0.795
51,28,477.321,382.107,18.728,474,379,6,6,1.000,7.211,475,385,56.310,6.000,1.144,0.874,0.889
52,32,655.219,382.344,20.728,652,379,6,7,0.936,8.062,653,379,119.745,6.000,1.288,0.776,0.877
53,25,442.500,386.500,18.142,440,383,5,7,0.954,7.616,441,390,66.801,5.000,1.360,0.735,0.862
54,27,935.796,387.019,18.142,933,384,6,6,1.000,7.810,933,384,129.806,5.657,1.475,0.678,0.885
55,35,1096.957,388.529,21.314,1094,385,6,7,0.968,8.602,1094,392,54.462,6.000,1.362,0.734,0.921
56,76,400.184,391.026,42.870,391,387,16,9,0.520,18.358,391,396,29.358,7.256,2.620,0.382,0.792
57,54,730.926,395.111,38.042,725,390,10,9,0.469,11.402,725,398,37.875,9.000,1.353,0.739,0.761
58,25,1058.660,394.100,20.142,1055,391,7,6,0.774,9.220,1055,397,40.601,4.600,2.364,0.423,0.806
59,32,1035.000,403.000,19.314,1032,400,6,6,1.000,7.211,1033,400,123.690,6.000,1.000,1.000,0.941
60,26,723.846,403.269,18.728,720,401,7,5,0.932,7.280,720,403,164.055,5.000,1.443,0.693,0.867
61,31,1094.081,411.177,24.385,1090,407,7,8,0.655,8.246,1094,407,104.036,7.000,1.174,0.852,0.738
62,702,841.340,426.486,120.811,828,408,26,41,0.604,43.324,838,408,108.853,25.456,1.530,0.654,0.862
63,41,478.500,414.500,22.142,475,411,7,7,1.000,8.602,476,411,125.538,7.000,1.193,0.838,0.932
64,30,1062.667,415.467,21.556,1060,411,6,8,0.811,8.944,1061,411,116.565,5.270,1.871,0.534,0.845
65,27,775.093,417.574,17.899,772,415,6,5,1.000,7.211,772,416,146.310,5.000,1.210,0.826,0.947
66,29,1097.569,421.328,20.971,1094,418,7,7,0.829,8.602,1095,418,125.538,5.367,1.705,0.586,0.817
67,28,363.857,427.929,19.556,360,425,7,6,0.920,7.616,360,429,23.199,5.657,1.360,0.735,0.862
68,33,570.136,431.773,21.314,566,429,8,5,0.913,8.944,566,434,26.565,5.000,1.761,0.568,0.917
69,104,397.827,437.029,60.669,390,431,16,12,0.355,17.804,390,432,141.843,12.000,1.612,0.620,0.636
70,57,659.237,437.026,26.385,655,433,9,8,1.000,10.296,655,434,150.945,8.000,1.273,0.786,0.919
71,38,1021.447,440.737,31.456,1017,435,10,11,0.483,14.866,1017,446,47.726,4.715,3.636,0.275,0.745
72,25,781.620,446.700,18.142,779,443,5,7,0.954,7.280,781,443,105.945,5.000,1.313,0.761,0.877
73,31,1042.113,446.790,20.142,1039,443,6,7,0.960,8.485,1039,444,135.000,5.814,1.439,0.695,0.873
74,49,629.622,450.949,25.556,626,446,7,9,0.943,10.000,627,447,126.870,7.000,1.345,0.744,0.916
75,45,393.144,454.767,35.799,388,447,9,13,0.441,15.264,388,460,58.392,6.379,2.795,0.358,0.647
76,30,740.233,449.467,19.314,737,447,7,5,1.000,8.062,737,452,29.745,5.000,1.416,0.706,0.938
77,90,914.556,452.367,35.456,908,447,13,10,0.900,13.601,909,449,143.973,9.487,1.486,0.673,0.896
78,27,844.759,454.944,18.971,841,452,7,6,0.943,8.062,841,453,150.255,5.547,1.601,0.625,0.831
79,43,588.267,456.895,24.385,584,453,8,8,0.909,10.000,585,453,126.870,6.364,1.604,0.623,0.878
80,30,1014.600,457.467,19.314,1011,455,7,5,1.000,7.616,1011,456,156.801,5.000,1.328,0.753,0.923
81,44,1005.136,459.545,23.556,1001,456,8,7,0.996,8.602,1003,456,125.538,7.000,1.098,0.910,0.907
82,87,402.730,463.534,47.113,395,457,15,14,0.493,18.601,395,470,36.254,9.070,2.914,0.343,0.667
83,43,766.779,462.872,23.556,763,459,7,8,0.974,9.434,764,459,122.005,7.000,1.353,0.739,0.905
84,134,968.888,468.366,73.154,959,461,18,18,0.315,22.672,959,462,131.424,12.676,1.973,0.507,0.612
85,55,349.409,472.282,31.213,344,469,12,7,0.709,12.369,344,470,165.964,7.000,2.094,0.478,0.803
86,33,369.682,474.682,21.556,366,471,7,7,0.892,8.602,367,478,54.462,6.261,1.443,0.693,0.846
87,94,468.160,475.351,46.527,460,471,16,8,0.546,16.763,460,477,17.354,8.000,2.233,0.448,0.800
88,34,840.147,476.412,20.971,836,473,8,6,0.972,8.602,837,474,144.462,6.000,1.458,0.686,0.883
89,90,660.922,479.456,43.113,653,474,14,10,0.608,15.232,653,483,23.199,9.608,1.611,0.621,0.793
90,32,648.125,479.656,19.556,645,476,6,7,1.000,7.616,647,476,113.199,6.000,1.177,0.850,0.901
91,57,962.640,481.237,30.385,958,476,9,10,0.776,11.662,958,486,59.036,8.379,1.355,0.738,0.826
92,44,1048.341,479.091,23.556,1044,476,9,6,0.996,9.487,1044,481,18.435,6.000,1.438,0.696,0.926
93,25,672.700,486.700,18.971,669,484,7,6,0.873,7.616,669,485,156.801,5.547,1.432,0.698,0.806
94,44,1135.364,488.023,22.971,1132,484,7,8,1.000,8.944,1133,484,116.565,7.000,1.136,0.881,0.907
95,43,519.779,488.872,23.556,516,485,7,8,0.974,9.434,517,485,122.005,7.000,1.353,0.739,0.905
96,33,659.894,488.197,21.314,656,486,8,5,0.913,8.544,656,489,20.556,5.000,1.499,0.667,0.930
97,25,1003.500,492.500,18.142,1001,489,5,7,0.954,7.616,1002,496,66.801,4.919,1.651,0.606,0.862
98,67,953.679,495.500,28.971,949,491,9,9,1.000,10.817,951,491,123.690,9.000,1.171,0.854,0.937
99,30,391.967,495.800,19.556,389,492,6,7,0.986,7.616,390,499,66.801,6.000,1.226,0.816,0.870
100,32,352.219,496.312,21.556,348,493,8,6,0.865,8.544,348,495,159.444,5.692,1.557,0.642,0.842
101,26,799.077,497.615,18.971,796,494,6,7,0.908,8.062,797,501,60.255,4.950,1.732,0.577,0.839
102,99,825.126,502.510,43.113,820,496,10,14,0.669,14.866,823,510,70.346,10.000,1.582,0.632,0.843
103,32,1003.406,503.906,21.556,1000,500,7,7,0.865,8.602,1001,500,125.538,6.261,1.521,0.657,0.842
104,587,519.268,517.503,107.397,506,503,27,36,0.640,36.674,518,539,78.996,26.236,1.205,0.830,0.865
105,49,1093.500,507.337,24.385,1089,504,9,7,1.000,9.849,1089,505,156.038,7.000,1.365,0.733,0.916
106,43,741.733,509.779,24.142,737,507,9,6,0.927,9.220,737,509,167.471,6.000,1.398,0.715,0.905
107,72,483.806,514.528,30.385,479,510,10,9,0.980,11.662,479,518,30.964,9.000,1.279,0.782,0.929
108,36,899.306,513.444,21.556,896,510,7,7,0.974,8.062,896,516,29.745,7.000,1.125,0.889,0.878
109,41,1001.549,515.159,22.971,998,511,7,8,0.976,8.944,1000,511,116.565,7.000,1.168,0.856,0.872
110,38,572.842,520.895,24.385,570,516,7,9,0.803,9.487,571,516,108.435,7.000,1.377,0.726,0.826
111,52,677.423,521.462,25.556,673,518,9,7,1.000,9.849,673,519,156.038,7.000,1.269,0.788,0.929
112,46,1012.000,523.000,24.385,1008,519,8,8,0.972,10.000,1008,520,143.130,7.071,1.388,0.721,0.885
113,29,811.466,524.293,19.314,809,521,5,7,0.977,8.062,809,521,119.745,5.000,1.496,0.669,0.921
114,43,567.616,527.012,26.971,563,524,10,6,0.743,10.770,563,530,21.801,6.000,1.840,0.543,0.827
115,28,333.893,528.893,19.556,330,526,7,6,0.920,7.616,330,528,156.801,5.657,1.350,0.741,0.862
116,25,411.180,540.820,17.556,408,538,6,6,1.000,7.211,409,538,123.690,4.950,1.475,0.678,0.877
117,56,504.000,545.000,26.142,500,541,8,8,1.000,10.000,501,541,126.870,8.000,1.148,0.871,0.949
118,27,1068.907,543.759,18.142,1066,541,6,6,1.000,6.708,1067,541,116.565,6.000,1.059,0.945,0.885
119,61,759.500,547.189,28.385,755,543,9,9,0.951,10.817,755,550,33.690,8.485,1.339,0.747,0.910
120,37,1023.608,552.095,21.314,1020,549,7,6,1.000,8.602,1020,550,144.462,6.000,1.230,0.813,0.937
121,84,571.083,560.167,37.799,567,552,7,16,0.739,16.125,571,552,97.125,7.000,2.231,0.448,0.918
122,33,733.712,557.985,20.728,730,555,7,6,0.965,8.602,730,556,144.462,6.000,1.435,0.697,0.904
123,81,342.796,564.475,44.184,336,559,15,12,0.521,17.000,336,569,28.072,9.031,2.177,0.459,0.695
124,39,910.987,570.885,36.627,905,566,11,8,0.365,12.530,905,574,28.610,7.452,2.170,0.461,0.609
125,29,481.638,576.500,19.314,479,573,5,7,0.977,7.616,480,573,113.199,5.000,1.434,0.697,0.906
126,25,921.540,576.420,18.728,918,574,7,5,0.896,7.280,918,576,164.055,5.000,1.512,0.661,0.847
127,40,1001.125,580.100,24.142,997,577,9,6,0.862,9.849,997,578,156.038,6.000,1.800,0.555,0.860
128,37,758.149,580.608,27.799,753,578,10,5,0.602,10.440,753,578,163.301,5.000,2.087,0.479,0.796
129,30,1089.433,581.667,19.314,1086,579,7,5,1.000,8.062,1086,580,150.255,5.000,1.438,0.695,0.938
130,66,793.758,584.167,39.698,787,580,15,7,0.526,15.297,787,583,168.690,7.000,2.542,0.393,0.790
131,49,676.990,587.418,26.385,672,584,10,7,0.885,10.198,672,586,168.690,7.000,1.504,0.665,0.867
132,47,1019.670,593.543,24.971,1015,590,9,7,0.947,10.000,1016,590,143.130,7.000,1.421,0.704,0.904
133,31,641.661,595.339,20.385,638,592,7,7,0.937,8.062,638,597,29.745,5.657,1.489,0.671,0.849
134,36,944.806,594.861,21.314,941,592,7,6,0.996,8.062,941,596,29.745,6.000,1.116,0.896,0.935
