 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,100,813.240,196.290,48.284,807,190,13,12,0.539,15.620,808,190,140.194,11.700,1.414,0.707,0.787
2,53,674.783,235.160,26.971,671,231,8,9,0.916,10.296,673,240,60.945,7.603,1.322,0.757,0.891
3,29,824.672,268.603,18.728,821,266,7,5,1.000,7.616,821,270,23.199,5.000,1.373,0.728,0.921
4,240,876.783,297.300,78.326,866,287,22,21,0.492,27.659,869,308,49.399,15.004,2.047,0.488,0.761
5,56,713.357,300.661,26.728,710,296,7,9,0.985,10.296,711,296,119.055,7.000,1.316,0.760,0.949
6,36,491.639,301.000,22.971,488,298,8,6,0.857,8.944,488,304,26.565,6.000,1.480,0.676,0.878
7,70,919.871,331.029,30.971,915,326,9,10,0.917,11.662,917,336,59.036,8.944,1.300,0.769,0.909
8,57,823.623,331.553,27.556,820,327,8,9,0.943,10.296,821,336,60.945,8.000,1.237,0.809,0.905
9,35,706.271,341.843,24.971,702,339,8,6,0.705,8.944,702,340,153.435,6.000,1.460,0.685,0.824
10,45,1055.322,354.833,23.556,1052,351,7,8,1.000,8.944,1053,351,116.565,7.000,1.166,0.858,0.918
11,25,714.260,360.700,17.314,711,358,6,5,1.000,6.708,711,360,153.435,5.000,1.177,0.849,0.926
12,57,752.237,362.518,26.971,748,358,8,9,0.985,10.296,750,367,60.945,8.000,1.282,0.780,0.919
13,75,976.340,364.687,40.042,971,358,10,12,0.588,13.892,972,358,120.256,9.617,1.388,0.721,0.773
14,31,721.371,362.952,20.142,718,360,7,6,0.960,7.810,718,365,39.806,6.000,1.173,0.853,0.873
15,27,740.204,362.648,25.799,736,360,9,5,0.510,9.849,736,361,156.038,5.000,2.305,0.434,0.692
16,67,851.590,367.873,29.799,846,364,11,8,0.948,11.402,846,369,15.255,8.000,1.360,0.736,0.912
17,66,717.591,369.485,32.971,712,365,11,9,0.763,13.601,712,365,143.973,8.433,1.751,0.571,0.841
18,62,929.565,380.548,27.799,925,376,9,9,1.000,10.817,925,378,146.310,8.485,1.260,0.794,0.912
19,43,717.081,385.570,30.627,711,382,11,8,0.576,12.530,711,384,151.390,6.548,1.968,0.508,0.741
20,28,714.000,393.321,21.556,711,390,6,7,0.757,7.810,711,395,39.806,5.883,1.304,0.767,0.812
21,54,907.352,396.333,25.799,903,392,9,8,1.000,9.849,903,394,156.038,8.000,1.228,0.814,0.900
