 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,72,639.444,100.056,53.314,637,88,4,25,0.318,25.080,638,88,94.574,4.000,7.637,0.131,0.847
2,43,730.244,111.733,38.485,729,102,3,18,0.365,18.111,729,102,96.340,3.000,6.785,0.147,0.887
3,32,712.469,125.406,28.485,706,124,13,3,0.496,13.153,706,126,8.746,3.000,4.302,0.232,0.901
4,39,808.449,137.192,24.385,805,133,7,8,0.824,9.899,805,134,135.000,6.364,1.550,0.645,0.848
5,61,668.697,143.270,28.385,664,139,10,8,0.951,11.180,664,146,26.565,8.000,1.242,0.805,0.904
6,53,695.632,154.481,26.142,691,151,9,7,0.975,9.849,691,153,156.038,7.000,1.252,0.798,0.930
7,32,858.062,154.531,32.870,852,151,12,9,0.372,15.000,852,151,143.130,4.160,4.276,0.234,0.703
8,41,873.354,166.037,31.456,867,162,12,9,0.521,15.000,867,162,143.130,4.912,3.889,0.257,0.732
9,47,681.053,181.053,24.385,677,177,8,8,0.993,8.944,677,183,26.565,7.778,1.164,0.859,0.895
10,55,888.336,189.555,27.556,885,184,7,10,0.910,10.770,887,184,111.801,7.000,1.450,0.690,0.909
11,35,827.814,226.671,20.728,825,223,6,7,1.000,8.062,826,223,119.745,6.000,1.245,0.803,0.921
12,40,754.675,239.375,23.556,751,236,8,7,0.906,8.944,751,237,153.435,7.000,1.269,0.788,0.860
13,49,903.786,261.561,25.314,900,258,8,7,0.961,9.434,900,259,147.995,7.000,1.085,0.922,0.933
14,96,889.708,270.125,51.698,882,266,16,9,0.451,16.279,882,273,10.620,9.000,2.177,0.459,0.780
15,59,738.941,272.025,27.799,735,267,8,10,0.959,10.770,737,267,111.801,8.000,1.314,0.761,0.901
16,52,753.596,272.327,26.142,750,268,7,9,0.956,9.849,752,268,113.962,7.000,1.271,0.787,0.920
17,44,645.727,278.682,40.485,644,270,3,19,0.337,19.105,645,270,96.009,3.000,6.822,0.147,0.880
18,46,367.130,277.609,25.556,363,274,9,7,0.885,10.296,363,281,29.055,7.000,1.399,0.715,0.885
19,50,766.800,283.580,25.799,763,279,8,9,0.944,9.849,765,288,66.038,7.761,1.294,0.773,0.877
20,131,500.729,301.668,53.698,494,294,12,14,0.571,16.643,495,308,57.265,12.000,1.313,0.762,0.859
21,57,578.781,298.553,27.556,574,295,10,7,0.943,10.198,574,297,168.690,7.000,1.296,0.771,0.919
