 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,41,712.183,126.280,33.799,705,123,12,7,0.451,13.000,705,129,22.620,6.063,2.392,0.418,0.701
2,25,771.500,131.460,18.142,768,129,7,5,0.954,7.280,768,132,15.945,5.000,1.305,0.767,0.862
3,33,723.258,132.530,20.728,719,130,8,5,0.965,8.544,719,134,20.556,5.000,1.543,0.648,0.917
4,71,848.049,163.627,30.385,843,159,10,9,0.966,10.817,844,160,146.310,9.000,1.122,0.891,0.916
5,47,839.181,174.564,28.971,836,169,6,11,0.704,11.402,837,169,105.255,5.853,2.183,0.458,0.839
6,43,798.663,192.337,24.385,794,189,9,7,0.909,9.220,794,191,167.471,7.000,1.328,0.753,0.860
7,53,499.764,202.783,26.385,496,198,8,9,0.957,10.296,498,198,119.055,7.761,1.305,0.766,0.883
8,42,773.357,204.262,27.799,769,200,8,9,0.683,10.000,769,201,126.870,7.056,1.585,0.631,0.757
9,64,996.875,204.297,42.284,991,200,12,9,0.450,13.000,991,201,157.380,8.627,1.764,0.567,0.727
10,45,796.411,210.033,24.142,792,207,9,6,0.970,9.487,792,212,18.435,6.000,1.446,0.691,0.928
11,51,978.147,214.676,27.556,974,211,9,8,0.844,10.817,974,211,146.310,7.985,1.361,0.735,0.864
12,63,983.452,228.881,29.799,979,224,9,10,0.892,10.817,980,233,56.310,8.538,1.278,0.783,0.869
13,57,910.079,231.202,27.213,906,226,8,10,0.967,10.440,909,226,106.699,8.000,1.291,0.775,0.884
14,72,549.569,234.889,30.385,545,230,9,10,0.980,11.180,547,230,116.565,9.000,1.156,0.865,0.923
15,53,502.406,240.764,26.385,499,236,7,10,0.957,10.770,500,236,111.801,7.000,1.430,0.699,0.914
16,34,833.118,251.824,21.556,830,248,6,8,0.919,8.544,832,256,69.444,5.692,1.558,0.642,0.861
17,25,935.860,263.060,18.728,932,261,7,5,0.896,8.062,932,261,150.255,5.000,1.729,0.578,0.877
18,63,799.278,271.706,28.971,795,267,8,10,0.943,10.770,797,267,111.801,8.000,1.255,0.797,0.913
19,41,949.817,272.037,23.314,947,268,6,8,0.948,8.944,948,268,116.565,6.000,1.398,0.715,0.921
20,39,550.192,274.397,22.728,547,271,7,7,0.949,9.220,547,271,130.601,6.957,1.284,0.779,0.907
21,63,1031.389,278.040,29.213,1027,273,9,10,0.928,10.630,1028,274,131.186,8.854,1.180,0.848,0.869
22,50,1037.680,287.160,25.213,1033,283,9,8,0.988,9.487,1033,286,161.565,7.778,1.195,0.837,0.877
23,69,841.877,292.790,36.870,837,287,9,11,0.638,12.530,839,298,61.390,9.000,1.402,0.713,0.798
