 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,31,716.597,142.984,26.971,714,138,7,9,0.536,10.296,715,138,119.055,6.379,1.972,0.507,0.660
2,37,676.851,146.365,36.042,672,142,10,9,0.358,11.662,672,149,30.964,7.555,2.160,0.463,0.556
3,67,898.067,167.127,28.971,893,163,10,8,1.000,11.180,893,165,153.435,8.000,1.311,0.763,0.931
4,30,908.833,172.233,25.556,906,168,8,7,0.577,10.000,906,169,143.130,6.247,1.709,0.585,0.741
5,60,811.433,182.417,38.284,807,178,10,10,0.514,11.662,807,186,30.964,8.485,1.438,0.695,0.764
6,43,889.686,196.919,34.627,886,193,9,9,0.451,10.817,886,201,33.690,8.121,1.520,0.658,0.656
7,47,540.734,198.904,35.456,537,194,8,9,0.470,10.296,539,194,119.055,8.000,1.294,0.773,0.734
8,48,843.042,233.458,36.870,838,230,11,8,0.444,11.705,838,236,19.983,8.000,1.665,0.601,0.681
9,72,967.014,243.278,40.627,962,238,11,10,0.548,12.806,963,238,128.660,9.899,1.450,0.690,0.770
10,77,864.383,245.279,31.799,859,241,11,9,0.957,11.402,859,243,164.745,9.000,1.191,0.840,0.917
11,98,713.622,248.561,37.213,709,242,10,13,0.889,13.928,711,255,68.962,9.803,1.459,0.686,0.907
12,64,601.094,249.469,39.698,597,244,9,11,0.510,11.402,598,254,52.125,9.000,1.294,0.773,0.780
13,62,689.629,271.645,34.627,686,266,8,11,0.650,11.180,689,266,100.305,8.000,1.404,0.712,0.816
14,67,461.201,291.336,29.556,457,287,9,9,0.964,10.817,457,295,33.690,9.000,1.097,0.912,0.931
15,113,841.827,296.535,46.184,833,290,16,13,0.666,16.763,833,294,162.646,11.649,1.564,0.639,0.801
16,43,501.244,296.453,32.870,498,291,7,11,0.500,11.662,499,292,120.964,7.000,1.819,0.550,0.672
17,78,709.333,296.295,31.556,705,291,9,10,0.984,11.662,707,291,120.964,9.000,1.115,0.897,0.951
18,111,884.239,299.725,38.870,878,294,13,12,0.923,13.892,881,306,59.744,11.314,1.212,0.825,0.910
19,70,1048.886,301.686,30.627,1044,297,10,10,0.938,10.817,1046,297,123.690,9.192,1.151,0.869,0.892
20,61,526.402,302.893,42.527,521,298,10,10,0.424,11.662,521,306,30.964,9.839,1.161,0.861,0.731
21,67,708.366,307.545,29.213,704,303,10,9,0.987,11.180,704,311,26.565,9.000,1.161,0.861,0.912
22,91,919.280,314.423,59.841,913,307,13,16,0.319,17.804,914,322,51.843,9.153,2.324,0.430,0.664
23,29,679.293,311.603,31.799,675,309,8,7,0.360,8.602,676,309,125.538,7.000,1.367,0.732,0.617
24,81,587.006,318.932,32.042,582,313,10,11,0.991,11.705,584,324,70.017,9.899,1.115,0.897,0.910
25,86,1040.628,323.279,32.627,1035,318,11,10,1.000,12.083,1035,321,155.556,10.000,1.165,0.858,0.925
