 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,64,799.234,195.891,28.971,795,191,8,10,0.958,10.817,796,200,56.310,8.000,1.278,0.782,0.921
2,53,745.425,200.613,25.556,742,196,7,9,1.000,10.296,743,196,119.055,7.000,1.350,0.741,0.930
3,47,538.074,266.819,24.971,534,263,8,8,0.947,8.602,536,263,125.538,8.000,1.036,0.965,0.879
4,40,679.425,276.525,22.142,676,273,7,7,1.000,8.602,677,273,125.538,7.000,1.234,0.810,0.920
5,65,532.485,281.377,41.698,527,275,10,13,0.470,13.928,531,288,68.962,8.434,2.255,0.443,0.695
6,81,1007.191,294.549,32.385,1002,290,11,9,0.971,11.705,1002,292,160.017,9.000,1.171,0.854,0.931
7,183,989.795,318.626,71.255,976,311,25,14,0.453,25.495,976,322,11.310,13.774,1.869,0.535,0.732
8,49,933.582,325.378,24.971,930,321,7,9,0.988,9.487,932,321,108.435,7.000,1.240,0.806,0.907
9,124,442.121,334.734,44.284,434,329,16,11,0.795,17.000,435,331,151.928,10.491,1.731,0.578,0.886
10,29,1002.259,332.879,22.971,999,329,7,8,0.691,10.630,999,329,131.186,4.715,2.680,0.373,0.784
11,89,906.478,354.084,38.627,901,348,13,11,0.750,14.765,901,350,151.699,9.899,1.718,0.582,0.828
12,181,682.030,379.378,61.598,672,371,19,16,0.599,23.431,672,386,39.806,13.864,1.855,0.539,0.817
13,28,587.321,377.750,21.556,583,375,9,5,0.757,9.487,583,376,161.565,4.427,2.515,0.398,0.800
14,161,924.885,398.332,63.598,918,389,14,19,0.500,21.471,921,389,117.759,14.000,1.597,0.626,0.785
15,100,717.500,411.160,36.627,711,406,13,10,0.937,13.342,711,410,167.005,10.000,1.244,0.804,0.922
16,81,432.500,420.784,32.627,427,416,11,10,0.956,12.207,427,418,145.008,9.839,1.255,0.797,0.900
17,32,806.562,424.594,25.556,803,419,6,10,0.616,10.198,806,419,101.310,6.000,1.597,0.626,0.753
18,30,767.600,441.900,23.556,763,438,8,7,0.679,10.000,763,444,36.870,5.657,2.108,0.474,0.779
19,66,386.970,461.758,28.971,383,457,8,10,0.988,11.180,384,457,116.565,8.000,1.302,0.768,0.936
20,76,1084.197,480.237,30.627,1079,475,10,10,1.000,11.180,1079,478,153.435,9.899,1.088,0.919,0.916
21,99,521.379,481.944,49.355,514,477,15,12,0.511,15.297,514,483,11.310,11.837,1.417,0.706,0.773
22,25,366.380,488.740,20.385,363,485,7,7,0.756,8.602,363,491,35.538,4.950,2.239,0.447,0.769
23,35,341.814,505.843,29.799,338,502,7,9,0.495,10.296,338,502,119.055,7.000,1.365,0.733,0.700
24,42,470.548,536.024,24.385,467,531,7,9,0.888,9.220,470,531,102.529,7.000,1.255,0.797,0.866
25,142,547.599,540.472,71.397,536,533,24,18,0.350,26.000,536,549,22.620,12.813,2.636,0.379,0.569
26,76,1014.474,539.724,32.627,1009,534,10,11,0.897,12.207,1010,544,55.008,9.000,1.405,0.712,0.889
27,89,351.691,547.938,34.627,346,543,12,10,0.933,12.649,346,545,161.565,10.000,1.217,0.821,0.908
28,36,984.306,574.778,32.042,981,570,7,10,0.441,11.180,982,570,116.565,6.008,2.091,0.478,0.720
29,60,349.483,585.633,38.627,342,582,16,7,0.505,17.088,342,588,20.556,6.269,3.252,0.307,0.769
30,33,483.045,599.167,24.971,480,595,7,8,0.665,10.630,480,595,131.186,5.942,1.956,0.511,0.759
31,75,910.220,605.647,31.213,906,600,9,11,0.967,11.705,908,611,70.017,9.000,1.274,0.785,0.915
32,91,814.500,606.500,34.042,809,601,11,11,0.987,13.038,809,603,147.529,9.899,1.278,0.782,0.919
33,46,347.152,607.543,40.527,340,603,13,9,0.352,14.765,340,604,151.699,6.786,2.453,0.408,0.613
34,34,337.382,608.441,23.556,333,605,9,6,0.770,10.817,333,605,146.310,5.199,2.374,0.421,0.861
35,38,851.368,621.500,25.556,848,617,7,8,0.731,10.630,848,625,48.814,6.668,1.638,0.610,0.826
36,37,859.581,624.365,22.142,856,621,7,7,0.948,8.602,857,621,125.538,6.934,1.187,0.843,0.881
37,36,853.306,633.556,20.971,850,630,7,7,1.000,8.062,850,631,150.255,7.000,1.125,0.889,0.878
38,340,701.991,638.906,91.255,686,631,36,17,0.513,38.275,686,634,160.145,14.017,3.160,0.316,0.849
39,27,905.019,638.241,19.314,902,635,6,6,0.910,7.810,902,641,39.806,5.692,1.449,0.690,0.871
40,99,548.025,649.328,36.042,542,644,12,11,0.958,13.416,542,652,26.565,10.436,1.267,0.789,0.912
41,103,896.471,651.150,40.870,890,644,13,13,0.775,15.264,890,655,31.608,10.706,1.633,0.612,0.817
42,37,1059.041,652.392,24.385,1055,648,8,8,0.782,8.544,1055,655,20.556,7.603,1.078,0.928,0.787
43,139,490.140,702.594,45.941,483,695,15,15,0.828,17.804,483,709,38.157,11.314,1.708,0.586,0.883
44,47,509.181,700.032,24.971,505,696,8,8,0.947,8.944,507,704,63.435,8.000,1.111,0.900,0.879
45,37,419.284,716.068,22.728,416,712,6,8,0.900,8.944,418,720,63.435,6.000,1.258,0.795,0.902
46,100,375.210,723.140,36.627,369,718,13,10,0.937,13.601,369,726,17.103,10.000,1.313,0.762,0.913
47,32,421.906,771.688,23.799,419,767,7,9,0.710,9.487,420,767,108.435,6.364,1.609,0.621,0.771
48,26,733.731,770.846,19.556,730,768,7,6,0.854,9.220,730,768,139.399,4.243,2.246,0.445,0.881
