 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,83,748.849,143.645,43.941,740,138,15,10,0.540,16.155,740,146,21.801,8.944,2.003,0.499,0.758
2,36,788.917,142.583,21.799,785,139,8,7,0.952,8.544,785,144,20.556,6.364,1.304,0.767,0.857
3,66,878.470,147.924,29.799,874,143,9,10,0.934,10.817,875,152,56.310,8.854,1.236,0.809,0.892
4,60,628.567,148.450,27.799,624,144,9,9,0.976,10.817,624,151,33.690,8.485,1.303,0.768,0.896
5,53,610.953,156.443,26.971,606,153,10,7,0.916,10.050,606,156,174.289,7.000,1.247,0.802,0.891
6,40,730.550,157.925,22.971,727,154,7,8,0.953,8.544,729,162,69.444,6.957,1.224,0.817,0.870
7,41,663.744,167.500,24.971,661,163,6,9,0.826,9.487,662,163,108.435,6.000,1.681,0.595,0.863
8,44,805.818,184.023,25.799,801,180,9,8,0.831,10.296,801,186,29.055,6.600,1.772,0.564,0.830
9,26,769.462,185.615,18.728,767,182,5,7,0.932,7.616,768,182,113.199,5.000,1.444,0.693,0.867
10,29,778.190,185.500,19.556,775,182,6,7,0.953,7.810,775,188,39.806,5.657,1.386,0.721,0.866
11,46,651.457,192.152,25.213,647,188,9,8,0.909,9.220,647,193,12.529,7.589,1.228,0.814,0.836
12,87,820.626,196.132,42.870,816,188,9,15,0.595,15.811,818,203,71.565,9.000,2.261,0.442,0.773
13,54,651.685,201.259,26.142,648,197,8,8,0.993,10.000,649,197,126.870,8.000,1.187,0.843,0.939
14,52,801.615,208.096,25.799,797,204,9,8,0.982,9.487,797,207,161.565,7.778,1.165,0.859,0.897
15,59,772.856,209.686,33.456,767,205,12,9,0.662,13.416,767,214,26.565,8.246,1.857,0.538,0.761
16,50,880.380,223.420,25.556,877,219,7,9,0.962,10.296,878,228,60.945,7.000,1.412,0.708,0.917
17,38,771.132,223.763,22.728,768,220,6,8,0.924,8.602,769,220,125.538,6.000,1.420,0.704,0.894
18,32,693.406,229.500,20.142,690,226,6,7,0.991,7.616,692,226,113.199,6.000,1.277,0.783,0.889
19,33,758.197,236.652,20.728,755,234,7,6,0.965,8.602,755,239,35.538,6.000,1.392,0.719,0.904
20,83,827.789,245.343,36.042,822,240,12,10,0.803,12.649,822,248,18.435,10.000,1.217,0.822,0.860
21,71,501.852,245.514,30.385,497,241,10,9,0.966,11.402,497,249,37.875,9.000,1.219,0.821,0.922
22,53,818.953,252.689,29.213,814,249,11,8,0.780,11.180,814,254,10.305,8.000,1.397,0.716,0.828
23,43,1042.105,259.267,23.556,1038,256,8,7,0.974,8.602,1039,262,35.538,7.000,1.159,0.863,0.896
24,51,662.853,260.931,25.799,658,257,9,8,0.963,9.487,658,260,161.565,8.000,1.178,0.849,0.887
25,50,604.460,270.400,26.142,601,266,7,9,0.919,10.000,601,274,53.130,7.000,1.335,0.749,0.901
26,39,789.090,277.269,31.799,786,272,8,12,0.485,14.422,786,284,56.310,4.856,3.534,0.283,0.736
27,25,914.580,278.580,24.728,912,276,6,6,0.514,7.211,912,276,146.310,6.000,1.056,0.947,0.794
28,33,1036.197,285.561,20.728,1033,282,6,7,0.965,8.062,1034,289,60.255,6.000,1.304,0.767,0.892
29,57,972.044,290.518,33.213,967,284,9,12,0.649,15.000,967,296,53.130,6.102,2.801,0.357,0.838
30,39,792.679,292.372,35.456,787,287,11,11,0.390,14.213,787,287,129.289,7.267,2.601,0.384,0.569
31,839,645.866,313.338,122.811,630,295,31,35,0.699,41.340,637,330,57.848,31.000,1.190,0.841,0.914
32,26,464.231,300.154,17.899,462,297,5,6,1.000,7.211,462,297,123.690,5.000,1.242,0.805,0.945
33,31,964.371,300.790,19.556,961,298,7,6,1.000,7.616,961,299,156.801,6.000,1.248,0.801,0.886
34,82,586.841,306.390,33.799,582,301,10,11,0.902,12.806,583,301,128.660,9.391,1.339,0.747,0.906
35,78,735.821,308.705,33.556,730,305,12,8,0.870,13.000,730,306,157.380,8.000,1.600,0.625,0.912
36,58,778.759,311.224,26.971,774,307,9,8,1.000,10.000,775,308,143.130,8.000,1.127,0.887,0.913
37,38,605.816,313.000,22.385,602,309,7,8,0.953,8.485,603,310,135.000,7.000,1.144,0.874,0.854
38,62,749.581,314.806,40.870,742,310,14,10,0.466,14.560,742,312,164.055,9.701,1.460,0.685,0.626
39,33,803.076,313.561,20.142,800,310,6,7,1.000,7.810,800,316,39.806,6.000,1.083,0.924,0.892
40,54,1087.037,319.056,28.385,1083,314,9,9,0.842,10.630,1084,314,138.814,8.746,1.091,0.917,0.857
41,95,1077.447,325.868,46.284,1073,316,11,18,0.557,20.125,1073,316,116.565,8.130,2.987,0.335,0.792
42,53,729.670,321.085,26.385,725,317,9,8,0.957,10.817,725,324,33.690,7.071,1.566,0.639,0.914
43,32,1093.969,327.312,24.142,1091,322,5,10,0.690,10.440,1092,332,73.301,5.000,2.576,0.388,0.800
44,28,731.500,330.036,31.071,724,329,15,2,0.364,15.033,724,330,176.186,2.000,7.067,0.142,0.966
45,43,793.477,332.802,24.385,789,329,8,8,0.909,10.000,789,330,143.130,6.800,1.558,0.642,0.860
46,28,778.571,330.929,33.071,771,330,16,2,0.322,16.031,771,330,176.424,2.000,7.358,0.136,0.933
47,35,891.100,332.986,21.314,888,330,7,6,0.968,8.485,888,336,45.000,6.000,1.165,0.859,0.921
48,58,513.879,344.155,28.971,510,338,7,11,0.868,11.402,512,349,74.745,7.000,1.524,0.656,0.913
49,26,520.615,343.577,18.728,518,340,5,7,0.932,7.616,519,340,113.199,5.000,1.598,0.626,0.867
50,25,793.180,346.060,18.142,790,343,6,6,0.954,7.810,790,348,39.806,4.950,1.667,0.600,0.877
51,91,663.291,356.302,43.698,658,348,10,17,0.599,17.720,659,365,73.610,8.587,2.484,0.403,0.781
52,46,420.500,362.913,24.142,417,359,7,8,0.992,9.434,418,359,122.005,7.000,1.245,0.803,0.920
53,32,847.156,375.719,20.142,844,372,6,7,0.991,7.616,846,372,113.199,6.000,1.227,0.815,0.889
54,57,888.132,381.640,27.556,884,377,8,9,0.943,10.817,885,386,56.310,8.000,1.298,0.770,0.912
55,46,510.261,389.717,24.971,506,386,9,7,0.927,10.000,506,387,143.130,7.000,1.400,0.714,0.876
56,37,603.743,399.500,22.142,600,396,7,7,0.948,9.220,601,396,130.601,6.364,1.426,0.701,0.902
57,58,509.931,411.138,27.556,506,407,8,9,0.960,10.630,506,415,41.186,8.000,1.200,0.833,0.921
58,36,417.306,421.222,22.385,414,417,7,8,0.903,8.944,415,425,63.435,6.102,1.543,0.648,0.847
59,97,731.624,424.387,44.284,724,419,15,11,0.622,17.000,724,428,28.072,10.262,1.840,0.543,0.792
60,55,385.464,427.536,27.799,381,423,9,9,0.894,10.296,383,432,60.945,8.050,1.295,0.772,0.866
61,37,697.068,437.500,22.971,694,433,6,9,0.881,9.849,695,433,113.962,5.692,1.898,0.527,0.871
62,62,1061.903,442.081,32.042,1057,437,11,9,0.759,12.207,1058,438,145.008,8.485,1.457,0.686,0.844
63,31,605.919,447.435,20.142,603,444,6,7,0.960,8.062,604,444,119.745,5.814,1.397,0.716,0.873
64,31,645.661,447.468,20.385,642,444,7,7,0.937,8.602,643,444,125.538,5.657,1.736,0.576,0.838
65,53,732.538,450.953,26.385,728,447,9,8,0.957,10.817,728,448,146.310,7.488,1.540,0.649,0.891
66,36,373.250,453.028,23.314,371,448,5,9,0.832,10.296,371,448,119.055,5.000,1.957,0.511,0.923
67,109,532.986,453.518,43.698,525,448,15,11,0.717,15.811,525,456,18.435,10.898,1.530,0.654,0.835
68,55,408.155,453.191,26.971,404,449,8,9,0.950,9.849,407,458,66.038,8.000,1.136,0.880,0.902
69,30,1031.300,451.933,19.314,1028,449,6,6,1.000,7.810,1029,449,129.806,6.000,1.243,0.805,0.923
