 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,66,733.788,131.500,28.627,729,127,10,9,1.000,10.770,729,129,158.199,9.000,1.136,0.880,0.904
2,97,910.830,167.871,38.870,904,162,13,12,0.807,13.928,904,164,158.962,11.200,1.143,0.875,0.843
3,84,618.798,192.238,33.213,614,187,10,11,0.957,12.083,616,187,114.444,10.000,1.147,0.872,0.913
4,38,931.632,193.263,33.213,928,189,8,8,0.433,9.434,929,189,122.005,8.000,1.261,0.793,0.685
5,75,933.233,214.673,31.213,928,210,11,9,0.967,11.402,928,217,15.255,9.000,1.178,0.849,0.915
6,83,620.717,222.331,33.213,616,217,10,11,0.946,12.530,618,228,61.390,9.899,1.286,0.778,0.902
7,71,489.556,228.979,29.799,485,224,9,10,1.000,11.180,487,224,116.565,9.000,1.214,0.824,0.928
8,39,723.910,234.577,35.213,717,232,14,5,0.395,14.560,717,236,15.945,5.000,3.793,0.264,0.634
9,39,1039.218,252.064,38.284,1036,245,6,14,0.334,15.232,1036,259,66.801,5.672,3.083,0.324,0.586
10,73,682.295,252.240,36.870,677,247,10,13,0.675,13.601,681,260,72.897,9.839,1.384,0.722,0.772
11,105,669.967,258.433,59.113,663,253,17,11,0.378,18.028,663,257,160.560,10.547,1.675,0.597,0.680
12,62,458.871,261.871,28.385,454,258,10,8,0.967,10.770,454,264,21.801,8.000,1.216,0.822,0.892
13,72,801.056,273.250,30.971,796,269,10,9,0.943,11.180,796,271,153.435,9.000,1.113,0.898,0.917
14,106,497.943,287.585,37.213,493,281,10,13,0.962,13.601,496,281,107.103,10.000,1.271,0.787,0.930
15,39,789.782,290.987,37.698,785,287,9,8,0.345,9.487,785,292,18.435,8.000,1.153,0.867,0.690
16,81,870.130,293.315,32.627,865,288,11,10,0.956,11.705,865,296,19.983,10.000,1.128,0.887,0.910
17,101,916.579,295.401,46.527,909,291,16,9,0.586,17.088,909,297,20.556,9.000,1.743,0.574,0.798
18,83,420.199,305.584,33.799,414,301,12,9,0.913,13.416,414,308,26.565,9.000,1.393,0.718,0.917
19,88,708.875,308.932,35.456,703,304,12,10,0.880,12.649,703,307,161.565,10.000,1.181,0.847,0.884
20,75,828.740,317.727,31.213,824,312,9,11,0.967,11.402,828,312,105.255,9.000,1.211,0.826,0.915
21,64,587.766,317.734,29.556,583,313,9,9,0.921,11.402,584,322,52.125,8.875,1.295,0.772,0.908
22,68,609.324,319.882,30.385,605,315,9,10,0.926,11.180,607,325,63.435,9.000,1.186,0.843,0.895
23,55,862.955,323.936,26.142,859,320,8,8,1.000,10.000,859,321,143.130,8.000,1.114,0.898,0.940
24,57,636.904,332.816,27.556,632,329,9,8,0.943,10.000,634,329,126.870,8.000,1.021,0.980,0.912
25,57,864.272,338.904,26.971,860,334,8,9,0.985,9.849,862,343,66.038,8.000,1.079,0.926,0.919
26,89,1060.051,339.466,33.799,1055,334,10,11,0.979,12.530,1057,345,61.390,10.000,1.200,0.833,0.932
27,70,765.757,341.829,30.385,761,337,9,10,0.953,11.180,763,337,116.565,9.000,1.205,0.830,0.909
28,78,379.038,346.103,32.971,375,340,8,12,0.902,12.649,378,340,108.435,8.000,1.541,0.649,0.923
29,54,990.444,345.185,41.113,985,341,10,9,0.401,10.770,985,347,21.801,9.000,1.088,0.919,0.740
30,49,531.724,349.806,24.971,528,346,8,8,0.988,8.944,529,346,116.565,8.000,1.055,0.948,0.907
31,57,744.939,352.553,27.556,741,348,8,9,0.943,10.000,741,356,36.870,8.000,1.178,0.849,0.905
