file	labels	identified	TP	FP	FN
/home/janci/skola/4/microscopy/dataset/images/00cb3f11-Concentracion_1en920250221_112903.png	111	180	97	83	14
/home/janci/skola/4/microscopy/dataset/images/014f9bc5-Concentracion_1en920250217_124052.png	227	149	93	56	134
/home/janci/skola/4/microscopy/dataset/images/01d2f91c-Concentracion_1en920250213_122936.png	53	47	9	38	44
/home/janci/skola/4/microscopy/dataset/images/02d88d4d-Concentracion_1en920250214_135551.png	86	185	62	123	24
/home/janci/skola/4/microscopy/dataset/images/03870403-Concentracion_1en920250221_120433.png	105	159	71	88	34
/home/janci/skola/4/microscopy/dataset/images/039073b3-Concentracion_1en920250224_123443.png	131	172	103	69	28
/home/janci/skola/4/microscopy/dataset/images/04ad9ecb-Concentracion_1en920250213_121905.png	52	77	13	64	39
/home/janci/skola/4/microscopy/dataset/images/04b00f5c-Concentracion_1en920250213_121248.png	62	59	24	35	38
/home/janci/skola/4/microscopy/dataset/images/050cd050-Concentracion_1en920250217_124911.png	210	43	25	18	185
/home/janci/skola/4/microscopy/dataset/images/0529bd83-Concentracion_1en920250221_113946.png	151	133	84	49	67
/home/janci/skola/4/microscopy/dataset/images/05f1afc1-Concentracion_1en920250214_141625.png	178	428	153	275	25
/home/janci/skola/4/microscopy/dataset/images/07c62fcb-Concentracion_1en920250224_115112.png	40	59	26	33	14
/home/janci/skola/4/microscopy/dataset/images/07edb2b9-Concentracion_1en920250217_124012.png	221	148	96	52	125
/home/janci/skola/4/microscopy/dataset/images/09075462-Concentracion_1en920250214_133626.png	143	472	132	340	11
/home/janci/skola/4/microscopy/dataset/images/0932c5eb-Concentracion_1en920250214_122111.png	83	116	20	96	63
/home/janci/skola/4/microscopy/dataset/images/09f9885f-Concentracion_1en920250214_140158.png	157	435	143	292	14
/home/janci/skola/4/microscopy/dataset/images/0b0e5b71-Concentracion_1en920250224_122108.png	53	103	37	66	16
/home/janci/skola/4/microscopy/dataset/images/0ba9193d-Concentracion_1en920250214_134355.png	80	125	64	61	16
/home/janci/skola/4/microscopy/dataset/images/1091a98b-Concentracion_1en920250217_125343.png	235	357	207	150	28
/home/janci/skola/4/microscopy/dataset/images/10f21071-Concentracion_1en920250221_113734.png	136	136	88	48	48
/home/janci/skola/4/microscopy/dataset/images/11d81c25-Concentracion_1en920250221_112748.png	147	195	124	71	23
/home/janci/skola/4/microscopy/dataset/images/12679152-Concentracion_1en920250206_114239.png	26	307	17	290	9
/home/janci/skola/4/microscopy/dataset/images/13cda740-Concentracion_1en920250224_123418.png	120	175	90	85	30
/home/janci/skola/4/microscopy/dataset/images/1720e3cc-Concentracion_1en920250214_112137.png	72	231	6	225	66
