file	clusters	identified	TP	FP	FN	accuracy	single	identified	TP	FP	FN	accuracy
/home/janci/skola/4/microscopy/dataset/images/00cb3f11-Concentracion_1en920250221_112903.png	7	5	1	4	6	9.09%	95	88	74	14	21	67.89%
/home/janci/skola/4/microscopy/dataset/images/01d2f91c-Concentracion_1en920250213_122936.png	6	7	1	6	5	8.33%	40	62	28	34	12	37.84%
/home/janci/skola/4/microscopy/dataset/images/02d88d4d-Concentracion_1en920250214_135551.png	5	7	1	6	4	9.09%	76	68	47	21	29	48.45%
/home/janci/skola/4/microscopy/dataset/images/014f9bc5-Concentracion_1en920250217_124052.png	17	8	2	6	15	8.70%	187	205	158	47	29	67.52%
/home/janci/skola/4/microscopy/dataset/images/03870403-Concentracion_1en920250221_120433.png	3	8	1	7	2	10.00%	99	112	82	30	17	63.57%
/home/janci/skola/4/microscopy/dataset/images/039073b3-Concentracion_1en920250224_123443.png	11	8	0	8	11	0.00%	108	95	70	25	38	52.63%
/home/janci/skola/4/microscopy/dataset/images/04ad9ecb-Concentracion_1en920250213_121905.png	4	7	3	4	1	37.50%	44	55	30	25	14	43.48%
/home/janci/skola/4/microscopy/dataset/images/04b00f5c-Concentracion_1en920250213_121248.png	9	8	1	7	8	6.25%	43	86	32	54	11	32.99%
/home/janci/skola/4/microscopy/dataset/images/0529bd83-Concentracion_1en920250221_113946.png	15	8	4	4	11	21.05%	118	103	83	20	35	60.14%
/home/janci/skola/4/microscopy/dataset/images/050cd050-Concentracion_1en920250217_124911.png	19	4	1	3	18	4.55%	172	202	142	60	30	61.21%
/home/janci/skola/4/microscopy/dataset/images/07c62fcb-Concentracion_1en920250224_115112.png	5	2	0	2	5	0.00%	30	32	20	12	10	47.62%
/home/janci/skola/4/microscopy/dataset/images/05f1afc1-Concentracion_1en920250214_141625.png	23	21	6	15	17	15.79%	129	140	88	52	41	48.62%
/home/janci/skola/4/microscopy/dataset/images/07edb2b9-Concentracion_1en920250217_124012.png	17	3	0	3	17	0.00%	184	205	143	62	41	58.13%
/home/janci/skola/4/microscopy/dataset/images/09075462-Concentracion_1en920250214_133626.png	12	23	4	19	8	12.90%	118	143	90	53	28	52.63%
/home/janci/skola/4/microscopy/dataset/images/0932c5eb-Concentracion_1en920250214_122111.png	11	8	3	5	8	18.75%	60	33	28	5	32	43.08%
/home/janci/skola/4/microscopy/dataset/images/09f9885f-Concentracion_1en920250214_140158.png	15	19	7	12	8	25.93%	123	137	88	49	35	51.16%
/home/janci/skola/4/microscopy/dataset/images/0b0e5b71-Concentracion_1en920250224_122108.png	1	6	0	6	1	0.00%	51	38	26	12	25	41.27%
/home/janci/skola/4/microscopy/dataset/images/0ba9193d-Concentracion_1en920250214_134355.png	6	3	2	1	4	28.57%	67	58	46	12	21	58.23%
/home/janci/skola/4/microscopy/dataset/images/10f21071-Concentracion_1en920250221_113734.png	11	11	5	6	6	29.41%	110	112	92	20	18	70.77%
/home/janci/skola/4/microscopy/dataset/images/1091a98b-Concentracion_1en920250217_125343.png	16	12	2	10	14	7.69%	200	199	159	40	41	66.25%
/home/janci/skola/4/microscopy/dataset/images/11d81c25-Concentracion_1en920250221_112748.png	13	11	4	7	9	20.00%	120	119	97	22	23	68.31%
/home/janci/skola/4/microscopy/dataset/images/13cda740-Concentracion_1en920250224_123418.png	6	7	0	7	6	0.00%	108	92	68	24	40	51.52%
