file	labels	identified	TP	FP	FN
/home/janci/skola/4/microscopy/dataset/images/00cb3f11-Concentracion_1en920250221_112903.png	111	143	87	56	24
/home/janci/skola/4/microscopy/dataset/images/01d2f91c-Concentracion_1en920250213_122936.png	53	111	42	69	11
/home/janci/skola/4/microscopy/dataset/images/02d88d4d-Concentracion_1en920250214_135551.png	86	154	60	94	26
/home/janci/skola/4/microscopy/dataset/images/014f9bc5-Concentracion_1en920250217_124052.png	227	240	189	51	38
/home/janci/skola/4/microscopy/dataset/images/03870403-Concentracion_1en920250221_120433.png	105	132	87	45	18
/home/janci/skola/4/microscopy/dataset/images/039073b3-Concentracion_1en920250224_123443.png	131	137	94	43	37
/home/janci/skola/4/microscopy/dataset/images/04ad9ecb-Concentracion_1en920250213_121905.png	52	88	39	49	13
/home/janci/skola/4/microscopy/dataset/images/04b00f5c-Concentracion_1en920250213_121248.png	62	141	47	94	15
/home/janci/skola/4/microscopy/dataset/images/0529bd83-Concentracion_1en920250221_113946.png	151	138	110	28	41
/home/janci/skola/4/microscopy/dataset/images/050cd050-Concentracion_1en920250217_124911.png	210	214	175	39	35
/home/janci/skola/4/microscopy/dataset/images/07c62fcb-Concentracion_1en920250224_115112.png	40	55	27	28	13
/home/janci/skola/4/microscopy/dataset/images/05f1afc1-Concentracion_1en920250214_141625.png	178	328	137	191	41
/home/janci/skola/4/microscopy/dataset/images/07edb2b9-Concentracion_1en920250217_124012.png	221	230	169	61	52
/home/janci/skola/4/microscopy/dataset/images/0932c5eb-Concentracion_1en920250214_122111.png	83	102	56	46	27
/home/janci/skola/4/microscopy/dataset/images/09075462-Concentracion_1en920250214_133626.png	143	371	122	249	21
/home/janci/skola/4/microscopy/dataset/images/09f9885f-Concentracion_1en920250214_140158.png	157	326	129	197	28
/home/janci/skola/4/microscopy/dataset/images/0b0e5b71-Concentracion_1en920250224_122108.png	53	87	33	54	20
/home/janci/skola/4/microscopy/dataset/images/0ba9193d-Concentracion_1en920250214_134355.png	80	93	59	34	21
/home/janci/skola/4/microscopy/dataset/images/1091a98b-Concentracion_1en920250217_125343.png	235	297	191	106	44
/home/janci/skola/4/microscopy/dataset/images/10f21071-Concentracion_1en920250221_113734.png	136	139	101	38	35
/home/janci/skola/4/microscopy/dataset/images/11d81c25-Concentracion_1en920250221_112748.png	147	165	115	50	32
/home/janci/skola/4/microscopy/dataset/images/13cda740-Concentracion_1en920250224_123418.png	120	139	81	58	39
/home/janci/skola/4/microscopy/dataset/images/1720e3cc-Concentracion_1en920250214_112137.png	72	96	63	33	9
/home/janci/skola/4/microscopy/dataset/images/19b76c65-Concentracion_1en920250214_113155.png	83	156	73	83	10
/home/janci/skola/4/microscopy/dataset/images/12679152-Concentracion_1en920250206_114239.png	26	2043	17	2026	9
/home/janci/skola/4/microscopy/dataset/images/1ac05f98-Concentracion_1en920250214_135438.png	128	183	97	86	31
/home/janci/skola/4/microscopy/dataset/images/1ba0ffd1-Concentracion_1en920250221_112708.png	122	146	95	51	27
/home/janci/skola/4/microscopy/dataset/images/1c5786d5-Concentracion_1en920250213_113114.png	26	59	23	36	3
/home/janci/skola/4/microscopy/dataset/images/1cb6fbe4-Concentracion_1en920250213_115159.png	55	126	48	78	7
/home/janci/skola/4/microscopy/dataset/images/1cbcad4a-Concentracion_1en920250225_123814.png	261	299	207	92	54
/home/janci/skola/4/microscopy/dataset/images/1cc345ef-Concentracion_1en920250214_125649.png	36	79	23	56	13
/home/janci/skola/4/microscopy/dataset/images/1d8747a3-Concentracion_1en920250224_112318.png	91	102	59	43	32
